Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в скролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Offer ID,URL товара,Тип товара,Источник
1,KD-PD-11291,Анатомическая подушка Бьюти,серый,60х40х14 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a354d888af09_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a3ea3b2791_big.png,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f256c606d_big.png,60 см,40 см,null,null,null,memoryfoam,null,null,null,null,1582,https://kultura-doma.ru/product/komplekt-ortopedicheskaya-podushka-b-yuti,decorative_pillow,master_catalog
2,KD-PD-11292,Анатомическая подушка Бьюти,бежевый,60х40х14 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a354d8696168_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a3ed6a6acb_big.png,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f056bb7b4_big.png,60 см,40 см,null,null,null,memoryfoam,null,null,null,null,1583,https://kultura-doma.ru/product/komplekt-ortopedicheskaya-podushka-b-yuti-1583,decorative_pillow,master_catalog
3,KD-PD-11293,Анатомическая подушка Классик,серый,60х40х14 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a354d8432f80_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a3f21eac6d_big.png,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f0cd83944_big.png,60 см,40 см,null,null,null,memoryfoam,null,null,null,null,1584,https://kultura-doma.ru/product/komplekt-ortopedicheskaya-podushka-klassik,decorative_pillow,master_catalog
4,KD-PD-11294,Анатомическая подушка Классик,бежевый,60х40х14 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a354d8207293_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a3f5f39123_big.png,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f141031f7_big.png,60 см,40 см,null,null,null,memoryfoam,null,null,null,null,1585,https://kultura-doma.ru/product/komplekt-ortopedicheskaya-podushka-klassik-1585,decorative_pillow,master_catalog
5,KD-PD-11295,Анатомическая подушка Мульти,серый,60х40х14 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a354d7f5086b_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a3c4c0be41_big.png,https://kultura-doma.ru/public/src/images/gallery/catalog/6a354d7dba498_big.jpg,60 см,40 см,null,null,null,memoryfoam,null,null,null,null,1586,https://kultura-doma.ru/product/komplekt-ortopedicheskaya-podushka-mul-ti,decorative_pillow,master_catalog
6,KD-PD-11296,Анатомическая подушка Мульти,бежевый,60х40х14 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a354d7c378cf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a3c1d8b68f_big.png,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f1f027e37_big.png,60 см,40 см,null,null,null,memoryfoam,null,null,null,null,1587,https://kultura-doma.ru/product/komplekt-ortopedicheskaya-podushka-mul-ti-1587,decorative_pillow,master_catalog
7,KD-PD-10913,Блюдо Весенний сад,белый,32 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a06d77592c8a_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a6ea61982e1_big.jpg,null,null,null,null,null,null,фарфор,100% фарфор,null,null,null,1605,https://kultura-doma.ru/product/blyudo-krugloe-vesenniy-sad,serving_dish,master_catalog
8,KD-PD-7696,Блюдо Летний сад,белый,null,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77e06b3ce_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77dbe558c_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77e219f59_big.jpg,null,null,null,null,null,фарфор,100% фарфор,null,null,null,199,https://kultura-doma.ru/product/blyudo-letniy-sad,serving_dish,master_catalog
9,KD-PD-9868,Блюдо овальное Ботаника,белый,36х25 см,https://kultura-doma.ru/public/src/images/gallery/catalog/687df3c71c3c1_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77c0173c2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77bf57834_big.jpg,null,null,null,null,null,фарфор,100% фарфор,null,null,null,1117,https://kultura-doma.ru/product/blyudo-botanika,serving_dish,master_catalog
10,KD-PD-10911,Блюдо овальное Весенний сад,белый,24х16 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77d20866e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a6eb2e0a6f8_big.jpg,null,null,null,null,null,null,фарфор,100% фарфор,null,null,null,1603,https://kultura-doma.ru/product/blyudo-oval-noe-vesenniy-sad,serving_dish,master_catalog
