Id,Артикул,Название товара,Цвет,Аромат,Размер,Цена,Старая цена,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Капсула,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение,Описание готового решения,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Offer ID
3,KD-PD-1023,Подушка с кружевом,Белый,,60x60 см,5990,,60 см,60 см,,,,Хлопок,Внешняя часть: 100% Хлопок Наполнитель: 100% Пух,Кружево,,,Пледы и подушки,Декоративные подушки,Зимняя сказка,,,/images/products/KD-PD-1023-WHITE01.png,/images/products/KD-PD-1023-WHITE02.png,,3
2,KD-PD-1023,Подушка с кружевом,Молочный,,60x60 см,5990,,60 см,60 см,,,,Хлопок,Внешняя часть: 100% Хлопок Наполнитель: 100% Пух,Кружево,,,Пледы и подушки,Декоративные подушки,Зимняя сказка,,,/images/products/KD-PD-1023-BEIGE01.png,/images/products/KD-PD-1023-BEIGE02.png,,3
1,KD-PD-1023,Подушка с кружевом,Синий,,60x60 см,5990,,60 см,60 см,,,,Хлопок,Внешняя часть: 100% Хлопок  Наполнитель: 100% Пух,Кружево,,Лунная сказка,Пледы и подушки,Декоративные подушки,Зимняя сказка,,,/images/products/KD-PD-1023-BLUE01.png,/images/products/KD-PD-1023-BLUE02.png,,3
5,KD-PD-1026,Плед из кружева,Белый,,200x220 см,12990,,200 см,220 см,,,,Хлопок,70% хлопок\n30% лен,Кружево,,,Пледы и подушки,Плед,Зимняя сказка,,,/images/products/KD-PD-1026-WHITE01.png,/images/products/KD-PD-1026-WHITE02.png,,6
6,KD-PD-1026,Плед из кружева,Молочный,,200x220 см,12990,,200 см,220 см,,,,Хлопок,70% хлопок\n30% лен,Кружево,,,Пледы и подушки,Плед,Зимняя сказка,,,/images/products/KD-PD-1026-BEIGE01.png,/images/products/KD-PD-1026-BEIGE02.png,,6
4,KD-PD-1026,Плед из кружева,Синий,,200x220 см,12990,,200 см,220 см,,,,Хлопок,70% хлопок\n30% лен,Кружево,,Лунная сказка,Пледы и подушки,Плед,Зимняя сказка,,,/images/products/KD-PD-1026-BLUE01.png,/images/products/KD-PD-1026-BLUE02.png,,6
7,KD-PD-1027,СТЁГАНОЕ ПОКРЫВАЛО «БАРХАТНЫЙ РИТМ»,Молочный,,Евро 200×220 см,8690,,200 см,220 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,/images/products/KD-PD-1027-MOL01.png,/images/products/KD-PD-1027-MOL02.png,,7
7,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Молочный,,Кинг сайз 220×240 см,8690,,220 см,240 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,/images/imported-products/KD-PD-1027-MOL01.png,/images/products/KD-PD-1027-MOL02.png,,7
7,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Серо-синий,,Евро 200×220 см,8690,,200 см,220 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,/images/products/KD-PD-1027-PES01.png,,,7
7,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Серо-синий,,Кинг сайз 220×240 см,8690,,220 см,240 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,/images/products/KD-PD-1027-PES01.png,,,7
9,KD-PD-1030,"Чайная пара ""Лунная сказка""",Ночной синий,,250 мл,6990,,,,250 мл,15 см,"Кружка 1 шт, Блюдце 1 шт",Фарфор,100% костяной фарфор,Рисунок,Лунная сказка,Лунная сказка,Посуда и сервировка,"Кружки, чайные и кофейные пары",Зимняя сказка,,,/images/time-tea-pair.png,,,10
10,KD-PD-1024,"Комплект постельного белья ""Лунная сказка""",Ночной синий,,Полуторный 140x220 см,15990,,140 см,220 см,,,Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт,Шелк,100% Сатин,Вышивка,Лунная сказка,Лунная сказка,Постельное белье,Постельное белье,Зимняя сказка,,,/images/products/KD-PD-1024-DARK01.png,/images/products/KD-PD-1024-DARK02.png,,4
10,KD-PD-1024,Комплект постельного белья «Лунная сказка»,Ночной синий,,Евро 200×220 см,18990,,200 см,220 см,,,Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт,Шелк,100% Сатин,Вышивка,Лунная сказка,Лунная сказка,Постельное белье,Постельное белье,Зимняя сказка,,,/images/imported-products/KD-PD-1024-DARK01.png,/images/imported-products/KD-PD-1024-DARK02.png,,4
10,KD-PD-1024,Комплект постельного белья «Лунная сказка»,Ночной синий,,Кинг сайз 220×240 см,20990,,220 см,240 см,,,Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт,Шелк,100% Сатин,Вышивка,Лунная сказка,Лунная сказка,Постельное белье,Постельное белье,Зимняя сказка,,,/images/imported-products/KD-PD-1024-DARK01.png,/images/imported-products/KD-PD-1024-DARK02.png,,4
11,KD-PD-1025,"Тарелка ""Лунная сказка""",Ночной синий,,23 см,5990,,,,,23 см,,Фарфор,100% костяной фарфор,Рисунок,Лунная сказка,Лунная сказка,Посуда и сервировка,Тарелки,"Пламя морских глубин,  Зимняя сказка",,,/images/moon-plate.png,,,5
13,KD-PD-1028,Натяжная простыня из сатина,Белый,,Полуторный 140x220 см,4990,,140 см,220 см,,,,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/products/KD-PD-1028-WHITE01.png,/images/imported-products/KD-PD-1028-WHITE03.png,/images/products/KD-PD-1028-WHITE03.png,8
13,KD-PD-1028,Натяжная простыня из сатина,Белый,,Евро 200×220 см,5990,,200 см,220 см,,,,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/imported-products/KD-PD-1028-WHITE01.png,/images/imported-products/KD-PD-1028-WHITE03.png,/images/products/KD-PD-1028-WHITE03.png,8
13,KD-PD-1028,Натяжная простыня из сатина,Белый,,Кинг сайз 220×240 см,6990,,220 см,240 см,,,,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/imported-products/KD-PD-1028-WHITE01.png,/images/imported-products/KD-PD-1028-WHITE03.png,/images/products/KD-PD-1028-WHITE03.png,8
14,KD-PD-1028,Натяжная простыня из сатина,Ночной синий,,Полуторный 140x220 см,4990,,140 см,220 см,,,,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/products/KD-PD-1028-DARK01.png,/images/products/KD-PD-1028-DARK02.png,,8
14,KD-PD-1028,Натяжная простыня из сатина,Ночной синий,,Евро 200×220 см,5990,,,,,,,,,,,,,,,,,/images/products/KD-PD-1028-DARK01.png,/images/products/KD-PD-1028-DARK02.png,,
14,KD-PD-1028,Натяжная простыня из сатина,Ночной синий,,Кинг сайз 220×240 см,6990,,,,,,,,,,,,,,,,,/images/products/KD-PD-1028-DARK01.png,/images/products/KD-PD-1028-DARK02.png,,
12,KD-PD-1028,Натяжная простыня из сатина,Пудровый,,Полуторный 140x220 см,4990,,140 см,220 см,,,,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/peach-sheet.jpg,/images/products/KD-PD-1028-PUDRA02.png,/images/products/KD-PD-1028-PUDRA03.png,8
12,KD-PD-1028,Натяжная простыня из сатина,Пудровый,,Евро 200×220 см,5990,,200 см,220 см,,,,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/imported-products/KD-PD-1028-WHITE01.png,/images/imported-products/KD-PD-1028-WHITE03.png,/images/products/KD-PD-1028-PUDRA03.png,8
12,KD-PD-1028,Натяжная простыня из сатина,Пудровый,,Кинг сайз 220×240 см,6990,,220 см,240 см,,,,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/imported-products/KD-PD-1028-WHITE01.png,/images/imported-products/KD-PD-1028-WHITE03.png,/images/products/KD-PD-1028-PUDRA03.png,8
151,KD-PD-1128,Наволочка из сатина,Пудровый,,60 x 60 см,4990,,60 см,60 см,,,Наволочка 2 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/products/KD-PD-1128-PUDRA01.png,/images/imported-products/KD-PD-1128-PUDRA03.png,/images/products/KD-PD-1128-PUDRA03.png,11
131,KD-PD-1128,Наволочка из сатина,Белый,,60 x 60 см,4990,,60 см,60 см,,,Наволочка 2 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,,,/images/products/KD-PD-1128-WHITE01.png,/images/products/KD-PD-1128-WHITE02.png,/images/products/KD-PD-1128-WHITE03.png,11
