variant_id;product_id;article;variant_order;color_id;color_name;aroma_id;aroma_name;size_id;size_label;price_rub;old_price_rub;height;width;volume;diameter;package_info;material_id;material_name;composition;details;collection_id;collection_name;capsule_id;capsule_name;category_id;category_name;subcategory_id;subcategory_name;image_1;image_2;image_3
KD-PD-00474__v001;KD-PD-00474;KD-PD-00474;1;clr_2818a16c64;Белый;;;siz_8853f4a4f0;19 см;5599;;;;;19 см;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/KD-PD-00474.png;;
KD-PD-00574__v001;KD-PD-00574;KD-PD-00574;1;clr_2818a16c64;Белый;;;siz_83986fbbc4;23 см;6599;;;;;23 см;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/KD-PD-00574.png;;
KD-PD-00575__v001;KD-PD-00575;KD-PD-00575;1;clr_2818a16c64;Белый;;;siz_eb9ef0c2c4;350 мл;7599;;;;350 мл;;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;/assets/images/KD-PD-00575.png;;
KD-PD-00576__v001;KD-PD-00576;KD-PD-00576;1;clr_2818a16c64;Белый;;;siz_fe3347d2ff;450 мл;7599;;;;450 мл;;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;/assets/images/KD-PD-00576.png;;
KD-PD-11574__v001;KD-PD-11574;KD-PD-11574;1;clr_2818a16c64;Белый;;;siz_38d9e86809;250 мл;6599;;;;250 мл;;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;/assets/images/KD-PD-11574.png;;
KD-PD-11616__v001;KD-PD-11616;KD-PD-11616;1;clr_2818a16c64;Белый;;;siz_73c730c982;45 x 45 см;3599;;45 см;45 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_ddc14f17b6;Столовый текстиль;/assets/images/KD-PD-11616.png;;
KD-PD-1023__v001;KD-PD-1023;KD-PD-1023;1;clr_398bc3d0f7;Синий;;;siz_e6e4aef75d;60x60 см;5990;;60 см;60 см;;;;mat_365f34cf69;Хлопок;Внешняя часть: 100% Хлопок  Наполнитель: 100% Пух;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_1fd037451b;Декоративные подушки;/assets/images/KD-PD-1023-BLUE02.png;;
KD-PD-1023__v002;KD-PD-1023;KD-PD-1023;2;clr_2818a16c64;Белый;;;siz_e6e4aef75d;60x60 см;5990;;60 см;60 см;;;;mat_365f34cf69;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_1fd037451b;Декоративные подушки;/assets/images/KD-PD-1023-WHITE02.png;;
KD-PD-1023__v003;KD-PD-1023;KD-PD-1023;3;clr_89001f99bc;Молочный;;;siz_e6e4aef75d;60x60 см;5990;;60 см;60 см;;;;mat_365f34cf69;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_1fd037451b;Декоративные подушки;/assets/images/KD-PD-1023-BEIGE02.png;;
KD-PD-1026__v001;KD-PD-1026;KD-PD-1026;1;clr_398bc3d0f7;Синий;;;siz_b8d0455b94;200x220 см;12990;;200 см;220 см;;;;mat_365f34cf69;Хлопок;70% хлопок\n30% лен;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_8aadebfefa;Плед;/assets/images/KD-PD-1026-BLUE02.png;;
