size_id;size_label;size_type;value_1;value_2;unit;named_value
siz_8853f4a4f0;19 см;single_dimension;19;;cm;
siz_83986fbbc4;23 см;single_dimension;23;;cm;
siz_eb9ef0c2c4;350 мл;volume;350;;ml;
siz_fe3347d2ff;450 мл;volume;450;;ml;
siz_38d9e86809;250 мл;volume;250;;ml;
siz_73c730c982;45 x 45 см;dimensions;45;45;cm;
siz_e6e4aef75d;60x60 см;dimensions;60;60;cm;
siz_b8d0455b94;200x220 см;dimensions;200;220;cm;
siz_9ac959ef7b;Евро 200×220 см;dimensions;200;220;cm;
siz_c9a3d0e345;Кинг сайз 220×240 см;dimensions;220;240;cm;
siz_715f625982;Полуторный 140x220 см;dimensions;140;220;cm;
siz_4e61d7d82a;60 x 60 см;dimensions;60;60;cm;
siz_aac21ac6d6;10 см;single_dimension;10;;cm;
siz_04db6fb82b;30 см;single_dimension;30;;cm;
siz_ceaf7d5081;25 см;single_dimension;25;;cm;
siz_24947c1ed9;990 мл;volume;990;;ml;
siz_637a22f44a;240 мл;volume;240;;ml;
siz_c1e8cc52fa;16 см;single_dimension;16;;cm;
siz_3ff172e1b5;1800 мл;volume;1800;;ml;
siz_054a92fa30;20 см;single_dimension;20;;cm;
siz_2276053655;18 см;single_dimension;18;;cm;
siz_c2c9e33825;650 мл;volume;650;;ml;
siz_c03c38ee37;15 см;single_dimension;15;;cm;
siz_3a4fb28d38;36 см;single_dimension;36;;cm;
siz_d5d553e98e;50х180 см;dimensions;50;180;cm;
siz_d2ccb195b4;75 мл;volume;75;;ml;
siz_9211a1f518;40х50 см;dimensions;40;50;cm;
siz_8e6221b6a2;45х45 см;dimensions;45;45;cm;
siz_0d3f694334;180x180 см;dimensions;180;180;cm;
siz_6f1f15bfd3;180x250 см;dimensions;180;250;cm;
siz_1a260a7279;180x350 см;dimensions;180;350;cm;
siz_b1016065a0;45х65 см;dimensions;45;65;cm;
siz_41e3a4f172;40х40 см;dimensions;40;40;cm;
siz_29a861e2df;150х200 см;dimensions;150;200;cm;
siz_236293b1c0;36,5х25х2 см;dimensions;25;2;cm;
siz_effd554504;165х45 см;dimensions;165;45;cm;
siz_81af55eef2;180х250 см;dimensions;180;250;cm;
siz_3197a62e72;300 мл;volume;300;;ml;
siz_e024167a99;27 см;single_dimension;27;;cm;
siz_7f01438c49;260 мл;volume;260;;ml;
siz_5a4c300f2f;1100 мл;volume;1100;;ml;
siz_0a6e5e1575;Единый размер;universal;;;;
siz_cd0a7f87a0;9 см;single_dimension;9;;cm;
siz_e096b0d88b;12х12 см;dimensions;12;12;cm;
siz_757e8b1032;60х350 см;dimensions;60;350;cm;
siz_864b8f18da;50х250 см;dimensions;50;250;cm;
siz_f1ac7db743;12х23 см;dimensions;12;23;cm;
siz_a46682a303;180х180 см;dimensions;180;180;cm;
siz_9a111dd17f;180х350 см;dimensions;180;350;cm;
siz_355dddc85a;25,5 см;single_dimension;25.5;;cm;
siz_e0660c7782;130 мл;volume;130;;ml;
siz_7df32adc9a;160 мл;volume;160;;ml;
siz_ae8c2dbf71;21 см;single_dimension;21;;cm;
siz_fb19dc9cd8;26 см;single_dimension;26;;cm;
siz_93dfdf432f;25х18 см;dimensions;25;18;cm;
siz_77c1d39838;90 мл;volume;90;;ml;
siz_e17b384b04;21х21х9,5 см;dimensions;21;9.5;cm;
siz_465423d26e;32 см;single_dimension;32;;cm;
siz_5f5f4d6bf5;24х16 см;dimensions;24;16;cm;
siz_07d0638e61;36х25 см;dimensions;36;25;cm;
siz_c7e1bac893;45 см;single_dimension;45;;cm;
siz_1ab86f18bc;8 см;single_dimension;8;;cm;
siz_56458cb88b;30 мл;volume;30;;ml;
siz_a51dd1f114;150 мл;volume;150;;ml;
siz_2ec4f27ef4;1300 мл;volume;1300;;ml;
siz_43afd6d9c8;50х120 см;dimensions;50;120;cm;
siz_e4b54fb397;370 мл;volume;370;;ml;
siz_3a1b4eecfc;43х43 см;dimensions;43;43;cm;
siz_655425d707;24 см;single_dimension;24;;cm;
siz_14fa07a6a1;480 см;single_dimension;480;;cm;
siz_f35f077ab5;280 см;single_dimension;280;;cm;
siz_501ce79660;50×50 см;dimensions;50;50;cm;
siz_2d0f990f0d;140×200 см;dimensions;140;200;cm;
siz_a6e47b185f;Евро (200х220 см);dimensions;200;220;cm;
siz_1a86ade16c;Кинг-сайз (220х240 см);dimensions;220;240;cm;
siz_95bd66e2b4;40х60 см;dimensions;40;60;cm;
siz_85f7895a2a;11 см;single_dimension;11;;cm;
siz_bbbb069211;22 см;single_dimension;22;;cm;
siz_a80a4ee892;Полуторный (140×220 см);dimensions;140;220;cm;
siz_a5e1b709cf;Евро (200×220 см);dimensions;200;220;cm;
siz_51a16970c7;Кинг сайз (220×240 см);dimensions;220;240;cm;
