material_id;material_name;normalized_name
mat_2ca5cf94f3;Фарфор;фарфор
mat_365f34cf69;Хлопок;хлопок
mat_9a7e557bb3;Микровелюр;микровелюр
mat_1afde5d89a;Шелк;шелк
mat_2ca5cf94f3;фарфор;фарфор
mat_78141744da;костяной фарфор;костяной фарфор
mat_e08aad5924;Стекло;стекло
mat_65b3266963;лён;лен
mat_8134a26777;сатин;сатин
mat_b05c8f9179;натуральная кожа;натуральная кожа
mat_58e183f60a;соевый воск;соевый воск
mat_9d60ca580d;нержавеющая сталь 18/10;нержавеющая сталь 18/10
mat_7950cf851a;Сталь;сталь
mat_9b2ac80773;парафин;парафин
mat_968dc350ce;Дерево / Металл;дерево / металл
mat_4e38e856e3;Шерсть и хлопок;шерсть и хлопок
mat_6388fc762d;хрусталь;хрусталь
mat_d572e9eb8f;бархат;бархат
mat_83c3ac303b;керамика;керамика
