collection_id;collection_name;sort_order;product_count;variant_count;hero_image
col_f4cc42144b;Алая нить;1;6;6;/assets/images/KD-PD-00474.png
col_d572e9eb8f;Бархат;2;1;4;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png
col_235a4f2c57;Лунная сказка;3;3;5;/assets/images/time-tea-pair.png
col_0495d7f773;Феникс;4;3;4;/assets/images/KD-PD-2519.png
col_02264c193e;Овация;5;12;12;/assets/images/69cfd1dbd8788_big.jpg
col_369c12a8e3;Эхо;6;12;13;/assets/images/6a85bf6840c27_big.jpg
col_d2a2455e4e;Мокоши;7;9;10;/assets/images/6a84708e939ec_big.jpg
col_1b2574531b;Весна;8;8;12;/assets/images/KD-PD-8985.png
col_6e53a82ab7;Оренбургские узоры;9;2;6;/assets/images/KD-PD-10841БЕЖЕВЫЙ.png
col_23dacecafa;Петербург;10;11;14;/assets/images/687e4847be118_big.jpg
col_b9cced354f;Текстура;11;9;16;/assets/images/6a43759554a63_big.jpg
col_d84cdeb339;Многоцвет;12;4;8;/assets/images/68b028406ce99_big.jpg
col_0cf6b281d9;Столовые приборы;13;2;2;/assets/images/6a57511b9cbbf_big.jpg
col_f61a6a0d8c;Весенний сад;14;16;17;/assets/images/6a85ae21c78e0_big.jpg
col_9d34c5e77b;Дияф;15;12;13;/assets/images/698deddc79da9_big.JPG
col_2b1b1d7eb6;Дрёмица;16;4;5;/assets/images/68da38fa3c974_big.jpg
col_616ab631d5;Ледяные узоры;17;5;9;/assets/images/KD-PD-2000-BLUE01.png
col_fe08c5b62f;Нити;18;2;3;/assets/images/KD-PD-10376-01.png
col_982eed716f;Росы;19;1;1;/assets/images/6a47b3e9acf68_big.jpg
col_fbe1debe5c;Тайна;20;6;11;/assets/images/KD-PD-10375-02.png
col_e15812afc0;Юрма;21;2;2;/assets/images/6a85ae136bac7_big.jpg
