product_id;collection_id;collection_name
KD-PD-00474;col_f4cc42144b;Алая нить
KD-PD-00574;col_f4cc42144b;Алая нить
KD-PD-00575;col_f4cc42144b;Алая нить
KD-PD-00576;col_f4cc42144b;Алая нить
KD-PD-11574;col_f4cc42144b;Алая нить
KD-PD-11616;col_f4cc42144b;Алая нить
KD-PD-1027;col_d572e9eb8f;Бархат
KD-PD-1030;col_235a4f2c57;Лунная сказка
KD-PD-1024;col_235a4f2c57;Лунная сказка
KD-PD-1025;col_235a4f2c57;Лунная сказка
KD-PD-2519;col_0495d7f773;Феникс
KD-PD-11417;col_02264c193e;Овация
KD-PD-11415;col_02264c193e;Овация
KD-PD-11416;col_02264c193e;Овация
KD-PD-11514;col_02264c193e;Овация
KD-PD-11428;col_02264c193e;Овация
KD-PD-11430;col_02264c193e;Овация
KD-PD-11420;col_02264c193e;Овация
KD-PD-11438;col_369c12a8e3;Эхо
KD-PD-11438A;col_369c12a8e3;Эхо
KD-PD-114381;col_369c12a8e3;Эхо
KD-PD-114382;col_369c12a8e3;Эхо
KD-PD-114383;col_369c12a8e3;Эхо
KD-PD-114384;col_369c12a8e3;Эхо
KD-PD-114385;col_369c12a8e3;Эхо
KD-PD-10414;col_d2a2455e4e;Мокоши
KD-PD-10932;col_d2a2455e4e;Мокоши
KD-PD-10587;col_d2a2455e4e;Мокоши
KD-PD-10567;col_d2a2455e4e;Мокоши
KD-PD-10450;col_d2a2455e4e;Мокоши
KD-PD-10400;col_d2a2455e4e;Мокоши
KD-PD-10930;col_d2a2455e4e;Мокоши
KD-PD-8985;col_1b2574531b;Весна
KD-PD-8982;col_1b2574531b;Весна
KD-PD-11033;col_d2a2455e4e;Мокоши
KD-PD-11034;col_d2a2455e4e;Мокоши
KD-PD-10841;col_6e53a82ab7;Оренбургские узоры
KD-PD-10786;col_6e53a82ab7;Оренбургские узоры
KD-PD-7947;col_23dacecafa;Петербург
KD-PD-8312;col_23dacecafa;Петербург
KD-PD-7941;col_23dacecafa;Петербург
KD-PD-7942;col_23dacecafa;Петербург
KD-PD-7242;col_23dacecafa;Петербург
KD-PD-7938;col_23dacecafa;Петербург
KD-PD-8256;col_23dacecafa;Петербург
KD-PD-7939;col_23dacecafa;Петербург
KD-PD-7944;col_23dacecafa;Петербург
KD-PD-7940;col_23dacecafa;Петербург
KD-PD-7937;col_23dacecafa;Петербург
KD-PD-9713;col_b9cced354f;Текстура
KD-PD-9718;col_b9cced354f;Текстура
KD-PD-8768;col_b9cced354f;Текстура
KD-PD-8770;col_b9cced354f;Текстура
KD-PD-8765;col_b9cced354f;Текстура
KD-PD-8777;col_b9cced354f;Текстура
KD-PD-9711;col_b9cced354f;Текстура
KD-PD-8776;col_b9cced354f;Текстура
KD-PD-8758;col_b9cced354f;Текстура
KD-PD-8967;col_d84cdeb339;Многоцвет
KD-PD-8977;col_d84cdeb339;Многоцвет
KD-PD-7227;col_d84cdeb339;Многоцвет
KD-PD-9976;col_d84cdeb339;Многоцвет
KD-PD-8242;col_0cf6b281d9;Столовые приборы
KD-PD-8243;col_0cf6b281d9;Столовые приборы
KD-PD-11419;col_02264c193e;Овация
KD-PD-11431;col_02264c193e;Овация
KD-PD-11429;col_02264c193e;Овация
KD-PD-11421;col_02264c193e;Овация
KD-PD-11418;col_02264c193e;Овация
KD-PD-11436;col_369c12a8e3;Эхо
KD-PD-11518;col_369c12a8e3;Эхо
KD-PD-11441;col_369c12a8e3;Эхо
KD-PD-11449;col_369c12a8e3;Эхо
KD-PD-11440;col_369c12a8e3;Эхо
KD-PD-9415;col_1b2574531b;Весна
KD-PD-9418;col_1b2574531b;Весна
KD-PD-8984;col_1b2574531b;Весна
KD-PD-9975;col_1b2574531b;Весна
KD-PD-9416;col_1b2574531b;Весна
KD-PD-9417;col_1b2574531b;Весна
KD-PD-10913;col_f61a6a0d8c;Весенний сад
KD-PD-10911;col_f61a6a0d8c;Весенний сад
KD-PD-10925;col_f61a6a0d8c;Весенний сад
KD-PD-11141;col_f61a6a0d8c;Весенний сад
KD-PD-10928;col_f61a6a0d8c;Весенний сад
KD-PD-10917;col_f61a6a0d8c;Весенний сад
KD-PD-10915;col_f61a6a0d8c;Весенний сад
KD-PD-10924;col_f61a6a0d8c;Весенний сад
KD-PD-10927;col_f61a6a0d8c;Весенний сад
KD-PD-10926;col_f61a6a0d8c;Весенний сад
KD-PD-10918;col_f61a6a0d8c;Весенний сад
KD-PD-10919;col_f61a6a0d8c;Весенний сад
KD-PD-10920;col_f61a6a0d8c;Весенний сад
KD-PD-10921;col_f61a6a0d8c;Весенний сад
KD-PD-10922;col_f61a6a0d8c;Весенний сад
KD-PD-10923;col_f61a6a0d8c;Весенний сад
KD-PD-10944;col_9d34c5e77b;Дияф
KD-PD-11006;col_9d34c5e77b;Дияф
KD-PD-10945;col_9d34c5e77b;Дияф
KD-PD-10590;col_9d34c5e77b;Дияф
KD-PD-10591;col_9d34c5e77b;Дияф
KD-PD-10950;col_9d34c5e77b;Дияф
KD-PD-10459;col_9d34c5e77b;Дияф
KD-PD-10946;col_9d34c5e77b;Дияф
KD-PD-10947;col_9d34c5e77b;Дияф
KD-PD-10948;col_9d34c5e77b;Дияф
KD-PD-10951;col_9d34c5e77b;Дияф
KD-PD-10949;col_9d34c5e77b;Дияф
KD-PD-10287;col_2b1b1d7eb6;Дрёмица
KD-PD-10127;col_2b1b1d7eb6;Дрёмица
KD-PD-10283;col_2b1b1d7eb6;Дрёмица
KD-PD-10284;col_2b1b1d7eb6;Дрёмица
KD-PD-10256;col_0495d7f773;Феникс
KD-PD-10254;col_0495d7f773;Феникс
KD-PD-2000;col_616ab631d5;Ледяные узоры
KD-PD-2003;col_616ab631d5;Ледяные узоры
KD-PD-2010;col_616ab631d5;Ледяные узоры
KD-PD-2001;col_616ab631d5;Ледяные узоры
KD-PD-2004;col_616ab631d5;Ледяные узоры
KD-PD-10376;col_fe08c5b62f;Нити
KD-PD-10599;col_fe08c5b62f;Нити
KD-PD-8695;col_982eed716f;Росы
KD-PD-10375;col_fbe1debe5c;Тайна
KD-PD-10260;col_fbe1debe5c;Тайна
KD-PD-10597;col_fbe1debe5c;Тайна
KD-PD-10981;col_fbe1debe5c;Тайна
KD-PD-10259;col_fbe1debe5c;Тайна
KD-PD-10258;col_fbe1debe5c;Тайна
KD-PD-10244;col_e15812afc0;Юрма
KD-PD-10239;col_e15812afc0;Юрма
