product_id;capsule_id;capsule_name
KD-PD-1023;cap_235a4f2c57;Лунная сказка
KD-PD-1026;cap_235a4f2c57;Лунная сказка
KD-PD-1030;cap_235a4f2c57;Лунная сказка
KD-PD-1024;cap_235a4f2c57;Лунная сказка
KD-PD-1025;cap_235a4f2c57;Лунная сказка
KD-PD-2519;cap_0495d7f773;Феникс
KD-PD-10256;cap_0495d7f773;Феникс
KD-PD-10254;cap_0495d7f773;Феникс
KD-PD-2000;cap_616ab631d5;Ледяные узоры
KD-PD-2003;cap_616ab631d5;Ледяные узоры
KD-PD-2010;cap_616ab631d5;Ледяные узоры
KD-PD-2001;cap_616ab631d5;Ледяные узоры
KD-PD-2004;cap_616ab631d5;Ледяные узоры
KD-PD-10376;cap_fe08c5b62f;Нити
KD-PD-10599;cap_fe08c5b62f;Нити
KD-PD-10375;cap_fbe1debe5c;Тайна
KD-PD-10260;cap_fbe1debe5c;Тайна
KD-PD-10597;cap_fbe1debe5c;Тайна
KD-PD-10981;cap_fbe1debe5c;Тайна
KD-PD-10259;cap_fbe1debe5c;Тайна
KD-PD-10258;cap_fbe1debe5c;Тайна
