point_id;region_id;city;point_type;point_name;address;sort_order
reg_2d4e532143__pvz001;reg_2d4e532143;Москва;pvz;Петровка, 12;Петровка, 12;1
reg_2d4e532143__pvz002;reg_2d4e532143;Москва;pvz;Тверская, 18;Тверская, 18;2
reg_2d4e532143__pvz003;reg_2d4e532143;Москва;pvz;Кутузовский проспект, 22;Кутузовский проспект, 22;3
reg_2d4e532143__store001;reg_2d4e532143;Москва;store;Культура Дома · Петровка;Культура Дома · Петровка;1
reg_f881a88f78__pvz001;reg_f881a88f78;Санкт-Петербург;pvz;Невский проспект, 28;Невский проспект, 28;1
reg_f881a88f78__pvz002;reg_f881a88f78;Санкт-Петербург;pvz;Московский проспект, 73;Московский проспект, 73;2
reg_f881a88f78__store001;reg_f881a88f78;Санкт-Петербург;store;Культура Дома · Невский проспект;Культура Дома · Невский проспект;1
reg_1296df0246__pvz001;reg_1296df0246;Казань;pvz;Баумана, 44;Баумана, 44;1
reg_1296df0246__pvz002;reg_1296df0246;Казань;pvz;Ямашева, 46;Ямашева, 46;2
reg_1296df0246__store001;reg_1296df0246;Казань;store;Культура Дома · улица Баумана;Культура Дома · улица Баумана;1
reg_e12aeea540__pvz001;reg_e12aeea540;Екатеринбург;pvz;Ленина, 25;Ленина, 25;1
reg_e12aeea540__pvz002;reg_e12aeea540;Екатеринбург;pvz;Малышева, 51;Малышева, 51;2
reg_863d3dc117__pvz001;reg_863d3dc117;Новосибирск;pvz;Красный проспект, 50;Красный проспект, 50;1
reg_863d3dc117__pvz002;reg_863d3dc117;Новосибирск;pvz;Ленина, 12;Ленина, 12;2
reg_93e5c9da7a__pvz001;reg_93e5c9da7a;Омск;pvz;Ленина, 20;Ленина, 20;1
reg_93e5c9da7a__pvz002;reg_93e5c9da7a;Омск;pvz;Карла Маркса, 24;Карла Маркса, 24;2
reg_ac0f13faf8__pvz001;reg_ac0f13faf8;Нижний Новгород;pvz;Большая Покровская, 28;Большая Покровская, 28;1
reg_ac0f13faf8__pvz002;reg_ac0f13faf8;Нижний Новгород;pvz;Белинского, 61;Белинского, 61;2
reg_8f21d75425__pvz001;reg_8f21d75425;Самара;pvz;Ленинградская, 38;Ленинградская, 38;1
reg_8f21d75425__pvz002;reg_8f21d75425;Самара;pvz;Московское шоссе, 17;Московское шоссе, 17;2
reg_7d5c601332__pvz001;reg_7d5c601332;Ростов-на-Дону;pvz;Большая Садовая, 65;Большая Садовая, 65;1
reg_7d5c601332__pvz002;reg_7d5c601332;Ростов-на-Дону;pvz;Будённовский, 32;Будённовский, 32;2
reg_110035d704__pvz001;reg_110035d704;Краснодар;pvz;Красная, 74;Красная, 74;1
reg_110035d704__pvz002;reg_110035d704;Краснодар;pvz;Северная, 324;Северная, 324;2
