color_id;color_name;group_id;group_name
clr_2818a16c64;Белый;cgrp_2818a16c64;Белый
clr_398bc3d0f7;Синий;cgrp_398bc3d0f7;Синий
clr_89001f99bc;Молочный;cgrp_2818a16c64;Белый
clr_3afdfac7c7;Серо-синий;cgrp_398bc3d0f7;Синий
clr_7e1922e6be;Ночной синий;cgrp_398bc3d0f7;Синий
clr_417dc1f5c1;Пудровый;cgrp_417dc1f5c1;Пудровый
clr_b598b3ae9a;Белый / Золотой;cgrp_2818a16c64;Белый
clr_b598b3ae9a;Белый / Золотой;cgrp_b988d894d3;Золотой
clr_db1adb0a92;Желтый;cgrp_db1adb0a92;Желтый
clr_8717c2ffa9;Красный;cgrp_8717c2ffa9;Красный
clr_2372492028;Зеленый;cgrp_2372492028;Зеленый
clr_7ca5cf6f56;Бежевый;cgrp_7ca5cf6f56;Бежевый
clr_a39ee8788e;Голубой;cgrp_a39ee8788e;Голубой
clr_78e4123512;Экрю;cgrp_2818a16c64;Белый
clr_78e4123512;экрю;cgrp_2818a16c64;Белый
clr_df6d4fc5b2;коричневый;cgrp_df6d4fc5b2;Коричневый
clr_d74fedd1fa;черный;cgrp_d74fedd1fa;Черный
clr_d74fedd1fa;Черный;cgrp_d74fedd1fa;Черный
clr_812476ce58;Серебряный;cgrp_812476ce58;Серебряный
clr_2372492028;зеленый;cgrp_2372492028;Зеленый
clr_f62d05dd1d;Белый / Голубой;cgrp_2818a16c64;Белый
clr_f62d05dd1d;Белый / Голубой;cgrp_a39ee8788e;Голубой
clr_eaa16fa223;Ледяной Голубой;cgrp_a39ee8788e;Голубой
clr_6e3a178629;Прозрачный;cgrp_6e3a178629;Прозрачный
clr_df6d4fc5b2;Коричневый;cgrp_df6d4fc5b2;Коричневый
clr_9aae9f80f3;Небесный;cgrp_a39ee8788e;Голубой
