size_id;size_key;size_label;slug;size_type;dimension_1;dimension_2;dimension_3;unit;bedding_type;product_count;variant_count
siz_2f0c3b16c6;dimensions:polutornyi:140x220;Полуторный 140×220 см;polutornyi-140-220-sm;bedding;140.0;220.0;;cm;Полуторный;3;8
siz_fc83c1a9eb;dimensions:evro:200x220;Евро 200×220 см;evro-200-220-sm;bedding;200.0;220.0;;cm;Евро;6;12
siz_d39de78aa3;dimensions:king-saiz:220x240;Кинг сайз 220×240 см;king-saiz-220-240-sm;bedding;220.0;240.0;;cm;Кинг сайз;6;12
siz_a8cc77e46a;dimensions:12x12;12×12 см;12-12-sm;dimensions;12.0;12.0;;cm;;1;2
siz_655a7a3c8a;dimensions:12x23;12×23 см;12-23-sm;dimensions;12.0;23.0;;cm;;1;1
siz_8d48128ce0;dimensions:21x21x9.5;21×21×9,5 см;21-21-9-5-sm;dimensions;21.0;21.0;9.5;cm;;1;1
siz_f161ee1e53;dimensions:24x16;24×16 см;24-16-sm;dimensions;24.0;16.0;;cm;;1;1
siz_6f7a68311a;dimensions:25x18;25×18 см;25-18-sm;dimensions;25.0;18.0;;cm;;1;1
siz_091fe0f1ec;dimensions:36x25;36×25 см;36-25-sm;dimensions;36.0;25.0;;cm;;1;1
siz_b5cef7b3f9;dimensions:36.5x25x2;36,5×25×2 см;36-5-25-2-sm;dimensions;36.5;25.0;2.0;cm;;1;1
siz_42df2bf66b;dimensions:40x40;40×40 см;40-40-sm;dimensions;40.0;40.0;;cm;;3;3
siz_9cc6425ff0;dimensions:40x50;40×50 см;40-50-sm;dimensions;40.0;50.0;;cm;;1;1
siz_6f83027196;dimensions:40x60;40×60 см;40-60-sm;dimensions;40.0;60.0;;cm;;1;1
siz_dde6fcf663;dimensions:43x43;43×43 см;43-43-sm;dimensions;43.0;43.0;;cm;;1;1
siz_445e9902eb;dimensions:45x45;45×45 см;45-45-sm;dimensions;45.0;45.0;;cm;;8;11
siz_2433ce5e05;dimensions:45x65;45×65 см;45-65-sm;dimensions;45.0;65.0;;cm;;1;2
siz_260e8c4697;dimensions:50x120;50×120 см;50-120-sm;dimensions;50.0;120.0;;cm;;1;1
siz_0df7e680c6;dimensions:50x180;50×180 см;50-180-sm;dimensions;50.0;180.0;;cm;;2;2
siz_861fde37cf;dimensions:50x250;50×250 см;50-250-sm;dimensions;50.0;250.0;;cm;;1;1
siz_ac5570a797;dimensions:50x50;50×50 см;50-50-sm;dimensions;50.0;50.0;;cm;;1;3
siz_3beb187929;dimensions:60x350;60×350 см;60-350-sm;dimensions;60.0;350.0;;cm;;1;1
siz_ecbdfa3a54;dimensions:60x60;60×60 см;60-60-sm;dimensions;60.0;60.0;;cm;;2;6
siz_c5bd73e21d;dimensions:140x200;140×200 см;140-200-sm;dimensions;140.0;200.0;;cm;;1;1
siz_01cc00cc82;dimensions:150x200;150×200 см;150-200-sm;dimensions;150.0;200.0;;cm;;1;3
siz_0ae0bcf1dd;dimensions:165x45;165×45 см;165-45-sm;dimensions;165.0;45.0;;cm;;1;1
siz_a394ecc680;dimensions:180x180;180×180 см;180-180-sm;dimensions;180.0;180.0;;cm;;2;2
siz_e7edbe079b;dimensions:180x250;180×250 см;180-250-sm;dimensions;180.0;250.0;;cm;;5;5
siz_b5e9a22963;dimensions:180x350;180×350 см;180-350-sm;dimensions;180.0;350.0;;cm;;3;3
siz_8b267a4c84;dimensions:200x220;200×220 см;200-220-sm;dimensions;200.0;220.0;;cm;;1;3
siz_300e900a10;single:8:cm;8 см;8-sm;single_dimension;8.0;;;cm;;2;2
siz_a73000bbb7;single:9:cm;9 см;9-sm;single_dimension;9.0;;;cm;;1;1
siz_24d7b4453f;single:10:cm;10 см;10-sm;single_dimension;10.0;;;cm;;1;2
