material_id;normalized_key;material_label;slug;material_family;product_count;variant_count
mat_56ec8dad2a;бар×ат;Бархат;bar-at;other;1;2
mat_968dc350ce;дерево / металл;Дерево / Металл;derevo-metall;wood;4;5
mat_83c3ac303b;керамика;Керамика;keramika;ceramic;2;2
mat_78141744da;костяной фарфор;Костяной фарфор;kostyanoi-farfor;bone_porcelain;21;24
mat_65b3266963;лен;Лён;len;linen;1;1
mat_9a7e557bb3;микровелюр;Микровелюр;mikrovelyur;microvelour;1;4
mat_b05c8f9179;натуральная кожа;Натуральная кожа;naturalnaya-kozha;leather;9;16
mat_564161e33b;нержавеющая сталь 18 / 10;Нержавеющая сталь 18/10;nerzhaveyuschaya-stal-18-10;steel;1;1
mat_9b2ac80773;парафин;Парафин;parafin;wax;1;1
mat_8134a26777;сатин;Сатин;satin;satin;6;8
mat_58e183f60a;соевый воск;Соевый воск;soevyi-vosk;wax;2;2
mat_7950cf851a;сталь;Сталь;stal;steel;1;1
mat_e08aad5924;стекло;Стекло;steklo;glass;2;5
mat_2ca5cf94f3;фарфор;Фарфор;farfor;porcelain;57;61
mat_84ce26e46a;×лопок;Хлопок;lopok;other;16;32
mat_f0098831c8;×русталь;Хрусталь;rustal;steel;1;1
mat_1afde5d89a;шелк;Шелк;shelk;silk;4;27
mat_abe1028d51;шерсть и×лопок;Шерсть и хлопок;sherst-i-lopok;wool;1;1
