aroma_id;normalized_key;aroma_label;slug;product_count;variant_count
aro_5307137d11;апельсин;Апельсин;apelsin;1;1
aro_22aa82e2f4;без аромата;Без аромата;bez-aromata;1;1
aro_fb0224d609;ваниль;Ваниль;vanil;1;1
aro_df65c1cffb;дерево жизни;Дерево жизни;derevo-zhizni;1;1
aro_75af4d2eb2;древесный табак;Древесный табак;drevesnyi-tabak;1;2
aro_068a1ade53;кокос;Кокос;kokos;1;1
aro_7609b44cad;мята;Мята;myata;1;1
aro_8158c7d226;сандал;Сандал;sandal;1;1
aro_7e2909c610;сандал и шалфей;Сандал и шалфей;sandal-i-shalfei;1;1
aro_55bdac670d;уд;Уд;ud;1;2
