collection_id;normalized_key;collection_label;slug;product_count;variant_count
col_f4cc42144b;алая нить;Алая нить;alaya-nit;6;6
col_56ec8dad2a;бар×ат;Бархат;bar-at;1;4
col_f61a6a0d8c;весенний сад;Весенний сад;vesennii-sad;16;17
col_1b2574531b;весна;Весна;vesna;8;12
col_9d34c5e77b;дияф;Дияф;diyaf;12;13
col_2b1b1d7eb6;дремица;Дрёмица;dremica;4;5
col_616ab631d5;ледяные узоры;Ледяные узоры;ledyanye-uzory;5;9
col_235a4f2c57;лунная сказка;Лунная сказка;lunnaya-skazka;3;5
col_d84cdeb339;многоцвет;Многоцвет;mnogocvet;4;8
col_d2a2455e4e;мокоши;Мокоши;mokoshi;9;10
col_fe08c5b62f;нити;Нити;niti;2;3
col_02264c193e;овация;Овация;ovaciya;12;12
col_6e53a82ab7;оренбургские узоры;Оренбургские узоры;orenburgskie-uzory;2;6
col_23dacecafa;петербург;Петербург;peterburg;11;14
col_982eed716f;росы;Росы;rosy;1;1
col_0cf6b281d9;столовые приборы;Столовые приборы;stolovye-pribory;2;2
col_fbe1debe5c;тайна;Тайна;taina;6;11
col_b9cced354f;текстура;Текстура;tekstura;9;16
col_0495d7f773;феникс;Феникс;feniks;3;4
col_dfe46751a4;э×о;Эхо;e-o;12;13
col_e15812afc0;юрма;Юрма;yurma;2;2
