variant_id;product_id;characteristic_code;value;normalized_value;numeric_value
KD-PD-00474__v001;KD-PD-00474;category;Посуда и сервировка;посуда и сервировка;
KD-PD-00474__v001;KD-PD-00474;subcategory;Тарелки;тарелки;
KD-PD-00474__v001;KD-PD-00474;collection;Алая нить;алая нить;
KD-PD-00474__v001;KD-PD-00474;material;Фарфор;фарфор;
KD-PD-00474__v001;KD-PD-00474;size;19 см;19 см;
KD-PD-00474__v001;KD-PD-00474;price;5599;5599;5599
KD-PD-00474__v001;KD-PD-00474;diameter;19 см;19 см;
KD-PD-00474__v001;KD-PD-00474;composition;100% Костяной фарфор;100% костяной фарфор;
KD-PD-00474__v001;KD-PD-00474;color;Белый;белый;
KD-PD-00574__v001;KD-PD-00574;category;Посуда и сервировка;посуда и сервировка;
KD-PD-00574__v001;KD-PD-00574;subcategory;Тарелки;тарелки;
KD-PD-00574__v001;KD-PD-00574;collection;Алая нить;алая нить;
KD-PD-00574__v001;KD-PD-00574;material;Фарфор;фарфор;
KD-PD-00574__v001;KD-PD-00574;size;23 см;23 см;
KD-PD-00574__v001;KD-PD-00574;price;6599;6599;6599
KD-PD-00574__v001;KD-PD-00574;diameter;23 см;23 см;
KD-PD-00574__v001;KD-PD-00574;composition;100% Костяной фарфор;100% костяной фарфор;
KD-PD-00574__v001;KD-PD-00574;color;Белый;белый;
KD-PD-00575__v001;KD-PD-00575;category;Посуда и сервировка;посуда и сервировка;
KD-PD-00575__v001;KD-PD-00575;subcategory;Салатники, cупницы и глубокие тарелки;салатники, cупницы и глубокие тарелки;
KD-PD-00575__v001;KD-PD-00575;collection;Алая нить;алая нить;
KD-PD-00575__v001;KD-PD-00575;material;Фарфор;фарфор;
KD-PD-00575__v001;KD-PD-00575;size;350 мл;350 мл;
KD-PD-00575__v001;KD-PD-00575;price;7599;7599;7599
KD-PD-00575__v001;KD-PD-00575;volume;350 мл;350 мл;
KD-PD-00575__v001;KD-PD-00575;composition;100% Костяной фарфор;100% костяной фарфор;
KD-PD-00575__v001;KD-PD-00575;color;Белый;белый;
KD-PD-00576__v001;KD-PD-00576;category;Посуда и сервировка;посуда и сервировка;
KD-PD-00576__v001;KD-PD-00576;subcategory;Салатники, cупницы и глубокие тарелки;салатники, cупницы и глубокие тарелки;
KD-PD-00576__v001;KD-PD-00576;collection;Алая нить;алая нить;
KD-PD-00576__v001;KD-PD-00576;material;Фарфор;фарфор;
KD-PD-00576__v001;KD-PD-00576;size;450 мл;450 мл;
KD-PD-00576__v001;KD-PD-00576;price;7599;7599;7599
KD-PD-00576__v001;KD-PD-00576;volume;450 мл;450 мл;
KD-PD-00576__v001;KD-PD-00576;composition;100% Костяной фарфор;100% костяной фарфор;
KD-PD-00576__v001;KD-PD-00576;color;Белый;белый;
KD-PD-11574__v001;KD-PD-11574;category;Посуда и сервировка;посуда и сервировка;
KD-PD-11574__v001;KD-PD-11574;subcategory;Кружки, чайные и кофейные пары;кружки, чайные и кофейные пары;
KD-PD-11574__v001;KD-PD-11574;collection;Алая нить;алая нить;
KD-PD-11574__v001;KD-PD-11574;material;Фарфор;фарфор;
KD-PD-11574__v001;KD-PD-11574;size;250 мл;250 мл;
KD-PD-11574__v001;KD-PD-11574;price;6599;6599;6599
KD-PD-11574__v001;KD-PD-11574;volume;250 мл;250 мл;
KD-PD-11574__v001;KD-PD-11574;composition;100% Костяной фарфор;100% костяной фарфор;
KD-PD-11574__v001;KD-PD-11574;color;Белый;белый;
KD-PD-11616__v001;KD-PD-11616;category;Посуда и сервировка;посуда и сервировка;
KD-PD-11616__v001;KD-PD-11616;subcategory;Столовый текстиль;столовый текстиль;
KD-PD-11616__v001;KD-PD-11616;collection;Алая нить;алая нить;
KD-PD-11616__v001;KD-PD-11616;material;Хлопок;×лопок;
KD-PD-11616__v001;KD-PD-11616;size;45×45 см;45×45 см;
KD-PD-11616__v001;KD-PD-11616;price;3599;3599;3599
KD-PD-11616__v001;KD-PD-11616;height;45 см;45 см;
KD-PD-11616__v001;KD-PD-11616;width;45 см;45 см;
KD-PD-11616__v001;KD-PD-11616;composition;100% Хлопок;100%×лопок;
KD-PD-11616__v001;KD-PD-11616;color;Белый;белый;
KD-PD-1023__v001;KD-PD-1023;category;Пледы и подушки;пледы и подушки;
KD-PD-1023__v001;KD-PD-1023;subcategory;Декоративные подушки;декоративные подушки;
KD-PD-1023__v001;KD-PD-1023;capsule;Лунная сказка;лунная сказка;
KD-PD-1023__v001;KD-PD-1023;material;Хлопок;×лопок;
KD-PD-1023__v001;KD-PD-1023;size;60×60 см;60×60 см;
KD-PD-1023__v001;KD-PD-1023;price;5990;5990;5990
KD-PD-1023__v001;KD-PD-1023;height;60 см;60 см;
KD-PD-1023__v001;KD-PD-1023;width;60 см;60 см;
KD-PD-1023__v001;KD-PD-1023;composition;Внешняя часть: 100% Хлопок  Наполнитель: 100% Пух;внешняя часть: 100%×лопок наполнитель: 100% пу×;
KD-PD-1023__v001;KD-PD-1023;details;Кружево;кружево;
KD-PD-1023__v001;KD-PD-1023;color;Синий;синий;
KD-PD-1023__v002;KD-PD-1023;category;Пледы и подушки;пледы и подушки;
KD-PD-1023__v002;KD-PD-1023;subcategory;Декоративные подушки;декоративные подушки;
KD-PD-1023__v002;KD-PD-1023;capsule;Лунная сказка;лунная сказка;
KD-PD-1023__v002;KD-PD-1023;material;Хлопок;×лопок;
KD-PD-1023__v002;KD-PD-1023;size;60×60 см;60×60 см;
KD-PD-1023__v002;KD-PD-1023;price;5990;5990;5990
KD-PD-1023__v002;KD-PD-1023;height;60 см;60 см;
KD-PD-1023__v002;KD-PD-1023;width;60 см;60 см;
KD-PD-1023__v002;KD-PD-1023;composition;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;внешняя часть: 100%×лопок наполнитель: 100% пу×;
KD-PD-1023__v002;KD-PD-1023;details;Кружево;кружево;
KD-PD-1023__v002;KD-PD-1023;color;Белый;белый;
KD-PD-1023__v003;KD-PD-1023;category;Пледы и подушки;пледы и подушки;
