variant_id;product_id;group_id;group_label;source_color_raw
KD-PD-00474__v001;KD-PD-00474;cgrp_2818a16c64;Белый;Белый
KD-PD-00574__v001;KD-PD-00574;cgrp_2818a16c64;Белый;Белый
KD-PD-00575__v001;KD-PD-00575;cgrp_2818a16c64;Белый;Белый
KD-PD-00576__v001;KD-PD-00576;cgrp_2818a16c64;Белый;Белый
KD-PD-11574__v001;KD-PD-11574;cgrp_2818a16c64;Белый;Белый
KD-PD-11616__v001;KD-PD-11616;cgrp_2818a16c64;Белый;Белый
KD-PD-1023__v001;KD-PD-1023;cgrp_398bc3d0f7;Синий;Синий
KD-PD-1023__v002;KD-PD-1023;cgrp_2818a16c64;Белый;Белый
KD-PD-1023__v003;KD-PD-1023;cgrp_2818a16c64;Белый;Молочный
KD-PD-1026__v001;KD-PD-1026;cgrp_398bc3d0f7;Синий;Синий
KD-PD-1026__v002;KD-PD-1026;cgrp_2818a16c64;Белый;Белый
KD-PD-1026__v003;KD-PD-1026;cgrp_2818a16c64;Белый;Молочный
KD-PD-1027__v001;KD-PD-1027;cgrp_2818a16c64;Белый;Молочный
KD-PD-1027__v002;KD-PD-1027;cgrp_2818a16c64;Белый;Молочный
KD-PD-1027__v003;KD-PD-1027;cgrp_398bc3d0f7;Синий;Серо-синий
KD-PD-1027__v004;KD-PD-1027;cgrp_398bc3d0f7;Синий;Серо-синий
KD-PD-1030__v001;KD-PD-1030;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1024__v001;KD-PD-1024;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1024__v002;KD-PD-1024;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1024__v003;KD-PD-1024;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1025__v001;KD-PD-1025;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1028__v001;KD-PD-1028;cgrp_2818a16c64;Белый;Белый
KD-PD-1028__v002;KD-PD-1028;cgrp_2818a16c64;Белый;Белый
KD-PD-1028__v003;KD-PD-1028;cgrp_2818a16c64;Белый;Белый
KD-PD-1028__v004;KD-PD-1028;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1028__v005;KD-PD-1028;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1028__v006;KD-PD-1028;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1028__v007;KD-PD-1028;cgrp_417dc1f5c1;Пудровый;Пудровый
KD-PD-1028__v008;KD-PD-1028;cgrp_417dc1f5c1;Пудровый;Пудровый
KD-PD-1028__v009;KD-PD-1028;cgrp_417dc1f5c1;Пудровый;Пудровый
KD-PD-1128__v001;KD-PD-1128;cgrp_2818a16c64;Белый;Белый
KD-PD-1128__v002;KD-PD-1128;cgrp_398bc3d0f7;Синий;Ночной синий
KD-PD-1128__v003;KD-PD-1128;cgrp_417dc1f5c1;Пудровый;Пудровый
KD-PD-2519__v001;KD-PD-2519;cgrp_2818a16c64;Белый;Белый / Золотой
KD-PD-2519__v001;KD-PD-2519;cgrp_b988d894d3;Золотой;Белый / Золотой
KD-PD-2519__v002;KD-PD-2519;cgrp_2818a16c64;Белый;Белый / Золотой
KD-PD-2519__v002;KD-PD-2519;cgrp_b988d894d3;Золотой;Белый / Золотой
KD-PD-11417__v001;KD-PD-11417;cgrp_2818a16c64;Белый;Белый
KD-PD-11415__v001;KD-PD-11415;cgrp_2818a16c64;Белый;Белый
KD-PD-11416__v001;KD-PD-11416;cgrp_2818a16c64;Белый;Белый
KD-PD-11514__v001;KD-PD-11514;cgrp_2818a16c64;Белый;Белый
KD-PD-11428__v001;KD-PD-11428;cgrp_2818a16c64;Белый;Белый
KD-PD-11430__v001;KD-PD-11430;cgrp_2818a16c64;Белый;Белый
KD-PD-11420__v001;KD-PD-11420;cgrp_2818a16c64;Белый;Белый
KD-PD-11438__v001;KD-PD-11438;cgrp_2818a16c64;Белый;Белый
KD-PD-11438__v002;KD-PD-11438;cgrp_2818a16c64;Белый;Белый
KD-PD-11438A__v001;KD-PD-11438A;cgrp_2818a16c64;Белый;Белый
KD-PD-114381__v001;KD-PD-114381;cgrp_2818a16c64;Белый;Белый
KD-PD-114382__v001;KD-PD-114382;cgrp_2818a16c64;Белый;Белый
KD-PD-114383__v001;KD-PD-114383;cgrp_2818a16c64;Белый;Белый
KD-PD-114384__v001;KD-PD-114384;cgrp_2818a16c64;Белый;Белый
KD-PD-114385__v001;KD-PD-114385;cgrp_2818a16c64;Белый;Белый
KD-PD-10288__v001;KD-PD-10288;cgrp_2818a16c64;Белый;Белый
KD-PD-10288__v002;KD-PD-10288;cgrp_2818a16c64;Белый;Белый
KD-PD-11020__v001;KD-PD-11020;cgrp_db1adb0a92;Желтый;Желтый
