offer_id,group_id,vendor_code,collection,product_name,product_url,product_type,constructor_role,mix_role,builder_domain,palette,style_tags,price,old_price,color,size,material,volume,availability_status,primary_image_url,all_image_urls
736,,УТ-00008310,,Ваза Росы,https://kultura-doma.ru/product/vaza-rosy-736,vase,atmosphere_or_drinks,,,,,17900,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aedec7d8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aedec7d8_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aecaa874_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aed724ba_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aed2f131_big.jpg
486,,УТ-00008694,,Ваза Росы,https://kultura-doma.ru/product/vaza-rosy-486,vase,atmosphere_or_drinks,,,,,20100,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aded8de0_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aded8de0_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ade5575c_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ade947ff_big.jpg
524,,УТ-00009756,,Ваза Росы,https://kultura-doma.ru/product/vaza-rosy-524,vase,atmosphere_or_drinks,,,,,20100,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/68c9324b17f49_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68c9324b17f49_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/68fa1e390239f_big.jpg
525,,УТ-00009757,,Ваза Росы,https://kultura-doma.ru/product/vaza-rosy-525,vase,atmosphere_or_drinks,,,,,22400,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/68c938b5b9d76_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68c938b5b9d76_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/68fb3f762ed6c_big.jpg
737,,УТ-00008309,,Ваза Росы,https://kultura-doma.ru/product/vaza-rosy-737,vase,atmosphere_or_drinks,,,,,17900,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5af0daeeb_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5af0daeeb_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5af0914dc_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5af047e3b_big.jpg
1210,,УТ-00008311,,Ваза Росы,https://kultura-doma.ru/product/vaza-rosy,vase,atmosphere_or_drinks,,,,,31200,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ae44dba0_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ae44dba0_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ae4056c1_big.jpg
1431,1431,УТ-00010237,,Ваза Призма Лед,https://kultura-doma.ru/product/vaza-prizma-led,vase,atmosphere_or_drinks,,,,,85900,,,29 см,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/699587554d7d4_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/699587554d7d4_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/699570b0be92b_big.png|https://kultura-doma.ru/public/src/images/gallery/catalog/696f6711a4c5f_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ac3ec511_big.jpg
1209,,УТ-00010146,,Ваза Корона,https://kultura-doma.ru/product/vaza-korona,vase,atmosphere_or_drinks,,,,,17900,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5adcdbbdd_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5adcdbbdd_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69ca19c360490_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5adc93c83_big.jpg
1254,,УТ-00010124,,Ваза Корона,https://kultura-doma.ru/product/vaza-korona-1254,vase,atmosphere_or_drinks,,,,,17900,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/68dbc723a15f1_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68dbc723a15f1_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69ca1c6f57f60_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5aeade5b4_big.jpg
1255,,УТ-00010147,,Ваза Корона,https://kultura-doma.ru/product/vaza-korona-1255,vase,atmosphere_or_drinks,,,,,17900,,,,хрусталь,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ae294a79_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ae294a79_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69ca1aa1776fa_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5ae24ab6b_big.jpg
