Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение
727,KD-PD-8776,Подставка под бокал Текстура,коричневый,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374ed2e7de_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374ec602a8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374ece2ae6_big.jpg,,,,,,натуральная кожа,,,Текстура,,Посуда и сервировка,Блюда и подача,Теплый брутализм,
728,KD-PD-8758,Салфетница Текстура,черный,12х12 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374b928bc8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374b8dde46_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374b96af6c_big.jpg,12 см,12 см,,,,натуральная кожа,,,Текстура,,Посуда и сервировка,Салфетницы,Теплый брутализм,
729,KD-PD-8758,Салфетница Текстура,коричневый,12х12 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374bb5d537_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374bb235bf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374bb9a097_big.jpg,12 см,12 см,,,,натуральная кожа,,,Текстура,,Посуда и сервировка,Салфетницы,Теплый брутализм,
592,KD-PD-8967,Дорожка Многоцвет,белый,50х180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cd67e4a_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68b028406ce99_big.jpg,,50 см,180 см,,,,сатин,100% сатин,,Многоцвет,,Столовый текстиль,Столовый текстиль,Зеленый салон,
,KD-PD-8967,Дорожка Многоцвет,белый,60х350 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cd67e4a_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68b028406ce99_big.jpg,,60 см,350 см,,,,,,,Многоцвет,,Столовый текстиль,Столовый текстиль,Зеленый салон,
,KD-PD-8967,Дорожка Многоцвет,белый,50х250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cd67e4a_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68b028406ce99_big.jpg,,50 см,250 см,,,,,,,Многоцвет,,Столовый текстиль,Столовый текстиль,Зеленый салон,
593,KD-PD-8977,Конверт для столовых приборов Многоцветы,белый,12х23 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a46789a02f21_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b5843370a11_big.jpg,,12 см,23 см,,,,сатин,100% сатин,,Многоцвет,,Столовый текстиль,Столовый текстиль,Зеленый салон,
597,KD-PD-7227,Скатерть Многоцвет,белый,180х180 см,https://kssafonova.github.io/kd/images/imported-products/6a0abbf14fafb_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0abbf175562_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0abbf162bb6_big.jpg,180 см,180 см,,,,сатин,100% сатин,,Многоцвет,,Столовый текстиль,Столовый текстиль,Зеленый салон,
,KD-PD-7227,Скатерть Многоцвет,белый,180х250 см,https://kssafonova.github.io/kd/images/imported-products/6a0abbf14fafb_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0abbf175562_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0abbf162bb6_big.jpg,180 см,250 см,,,,сатин,100% сатин,,Многоцвет,,Столовый текстиль,Столовый текстиль,Зеленый салон,
,KD-PD-7227,Скатерть Многоцвет,белый,180х350 см,https://kssafonova.github.io/kd/images/imported-products/6a0abbf14fafb_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0abbf175562_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0abbf162bb6_big.jpg,180 см,350 см,,,,сатин,100% сатин,,Многоцвет,,Столовый текстиль,Столовый текстиль,Зеленый салон,
596,KD-PD-9976,Свеча Многоцветы,белый,"25,5 см",https://kssafonova.github.io/kd/images/imported-products/69df5f57970e0_big.jpg,https://kssafonova.github.io/kd/images/imported-products/69b95afad6980_big.jpg,,"25,5 см",,,,,соевый воск,,,Многоцвет,Многоцветы,Декор для дома,Свечи и диффузоры,Зеленый салон,
445,KD-PD-8242,Набор столовых приборов Александр,серебряный,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a57511b9cbbf_big.jpg,,,,,,,,нержавеющая сталь 18/10,,,Столовые приборы,,Посуда и сервировка,Столовые приборы,"Зеленый салон, Красные линии",Теплый брутализм
215,KD-PD-8243,Набор столовых приборов Петр,серебряный,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3d1d63d385c_big.jpg,,,,,,,,нержавеющая сталь 18/10,,,Столовые приборы,,Посуда и сервировка,Столовые приборы,"Зеленый салон, Красные линии",Теплый брутализм
730,KD-PD-11521,Диффузор Черный бархат,,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a101521b4575_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69b16002123a4_big.png,,,,130 мл,,,,,,,Черный бархат,Декор для дома,Свечи и диффузоры,Зимняя сказка,
738,KD-PD-11419,Блюдо овальное Овация,белый,"36х25,5 см",https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77ab1a012_big.jpg,,,,,,,,фарфор,100% фарфор,,Овация,,Посуда и сервировка,Блюда и подача,Зеленый салон,Красные линии
