product_id;size_id;size_label
KD-PD-00474;siz_8853f4a4f0;19 см
KD-PD-00574;siz_83986fbbc4;23 см
KD-PD-00575;siz_eb9ef0c2c4;350 мл
KD-PD-00576;siz_fe3347d2ff;450 мл
KD-PD-11574;siz_38d9e86809;250 мл
KD-PD-11616;siz_73c730c982;45 x 45 см
KD-PD-1023;siz_e6e4aef75d;60x60 см
KD-PD-1026;siz_b8d0455b94;200x220 см
KD-PD-1027;siz_9ac959ef7b;Евро 200×220 см
KD-PD-1027;siz_c9a3d0e345;Кинг сайз 220×240 см
KD-PD-1030;siz_38d9e86809;250 мл
KD-PD-1024;siz_715f625982;Полуторный 140x220 см
KD-PD-1024;siz_9ac959ef7b;Евро 200×220 см
KD-PD-1024;siz_c9a3d0e345;Кинг сайз 220×240 см
KD-PD-1025;siz_83986fbbc4;23 см
KD-PD-1028;siz_715f625982;Полуторный 140x220 см
KD-PD-1028;siz_9ac959ef7b;Евро 200×220 см
KD-PD-1028;siz_c9a3d0e345;Кинг сайз 220×240 см
KD-PD-1128;siz_4e61d7d82a;60 x 60 см
KD-PD-2519;siz_aac21ac6d6;10 см
KD-PD-11417;siz_04db6fb82b;30 см
KD-PD-11415;siz_8853f4a4f0;19 см
KD-PD-11416;siz_ceaf7d5081;25 см
KD-PD-11514;siz_eb9ef0c2c4;350 мл
KD-PD-11428;siz_24947c1ed9;990 мл
KD-PD-11430;siz_637a22f44a;240 мл
KD-PD-11420;siz_c1e8cc52fa;16 см
KD-PD-11438;siz_24947c1ed9;990 мл
KD-PD-11438;siz_3ff172e1b5;1800 мл
KD-PD-11438A;siz_38d9e86809;250 мл
KD-PD-114381;siz_eb9ef0c2c4;350 мл
KD-PD-114382;siz_054a92fa30;20 см
KD-PD-114383;siz_ceaf7d5081;25 см
KD-PD-114384;siz_2276053655;18 см
KD-PD-114385;siz_c2c9e33825;650 мл
KD-PD-10288;siz_c03c38ee37;15 см
KD-PD-10288;siz_2276053655;18 см
KD-PD-11020;siz_3a4fb28d38;36 см
KD-PD-10414;siz_d5d553e98e;50х180 см
KD-PD-10932;siz_d2ccb195b4;75 мл
KD-PD-10587;siz_9211a1f518;40х50 см
KD-PD-10567;siz_8e6221b6a2;45х45 см
KD-PD-10450;siz_0d3f694334;180x180 см
KD-PD-10450;siz_6f1f15bfd3;180x250 см
KD-PD-10400;siz_8853f4a4f0;19 см
KD-PD-10930;siz_38d9e86809;250 мл
KD-PD-8985;siz_6f1f15bfd3;180x250 см
KD-PD-8985;siz_1a260a7279;180x350 см
KD-PD-8982;siz_8e6221b6a2;45х45 см
KD-PD-8982;siz_b1016065a0;45х65 см
