color_id;color_name;normalized_name
clr_2818a16c64;Белый;белый
clr_398bc3d0f7;Синий;синий
clr_89001f99bc;Молочный;молочный
clr_3afdfac7c7;Серо-синий;серо-синий
clr_7e1922e6be;Ночной синий;ночной синий
clr_417dc1f5c1;Пудровый;пудровый
clr_b598b3ae9a;Белый / Золотой;белый / золотой
clr_db1adb0a92;Желтый;желтый
clr_8717c2ffa9;Красный;красный
clr_2372492028;Зеленый;зеленый
clr_7ca5cf6f56;Бежевый;бежевый
clr_a39ee8788e;Голубой;голубой
clr_78e4123512;Экрю;экрю
clr_78e4123512;экрю;экрю
clr_df6d4fc5b2;коричневый;коричневый
clr_d74fedd1fa;черный;черный
clr_d74fedd1fa;Черный;черный
clr_812476ce58;Серебряный;серебряный
clr_2372492028;зеленый;зеленый
clr_f62d05dd1d;Белый / Голубой;белый / голубой
clr_eaa16fa223;Ледяной Голубой;ледяной голубой
clr_6e3a178629;Прозрачный;прозрачный
clr_df6d4fc5b2;Коричневый;коричневый
clr_9aae9f80f3;Небесный;небесный
