product_id;material_id;material_name
KD-PD-00474;mat_2ca5cf94f3;Фарфор
KD-PD-00574;mat_2ca5cf94f3;Фарфор
KD-PD-00575;mat_2ca5cf94f3;Фарфор
KD-PD-00576;mat_2ca5cf94f3;Фарфор
KD-PD-11574;mat_2ca5cf94f3;Фарфор
KD-PD-11616;mat_365f34cf69;Хлопок
KD-PD-1023;mat_365f34cf69;Хлопок
KD-PD-1026;mat_365f34cf69;Хлопок
KD-PD-1027;mat_9a7e557bb3;Микровелюр
KD-PD-1030;mat_2ca5cf94f3;Фарфор
KD-PD-1024;mat_1afde5d89a;Шелк
KD-PD-1025;mat_2ca5cf94f3;Фарфор
KD-PD-1028;mat_1afde5d89a;Шелк
KD-PD-1128;mat_1afde5d89a;Шелк
KD-PD-11417;mat_2ca5cf94f3;фарфор
KD-PD-11415;mat_2ca5cf94f3;фарфор
KD-PD-11416;mat_2ca5cf94f3;фарфор
KD-PD-11514;mat_2ca5cf94f3;фарфор
KD-PD-11428;mat_2ca5cf94f3;фарфор
KD-PD-11430;mat_2ca5cf94f3;фарфор
KD-PD-11420;mat_2ca5cf94f3;фарфор
KD-PD-11438;mat_2ca5cf94f3;фарфор
KD-PD-11438;mat_78141744da;костяной фарфор
KD-PD-11438A;mat_78141744da;костяной фарфор
KD-PD-114381;mat_78141744da;костяной фарфор
KD-PD-114382;mat_78141744da;костяной фарфор
KD-PD-114383;mat_78141744da;костяной фарфор
KD-PD-114384;mat_78141744da;костяной фарфор
KD-PD-114385;mat_2ca5cf94f3;фарфор
KD-PD-10288;mat_2ca5cf94f3;фарфор
KD-PD-11020;mat_e08aad5924;Стекло
KD-PD-10414;mat_65b3266963;лён
KD-PD-10932;mat_2ca5cf94f3;фарфор
KD-PD-10587;mat_365f34cf69;Хлопок
KD-PD-10567;mat_365f34cf69;Хлопок
KD-PD-10450;mat_365f34cf69;Хлопок
KD-PD-10400;mat_2ca5cf94f3;Фарфор
KD-PD-10930;mat_2ca5cf94f3;Фарфор
KD-PD-8985;mat_365f34cf69;Хлопок
KD-PD-8982;mat_365f34cf69;Хлопок
KD-PD-7947;mat_78141744da;костяной фарфор
KD-PD-8312;mat_8134a26777;сатин
KD-PD-7941;mat_78141744da;костяной фарфор
KD-PD-7942;mat_78141744da;костяной фарфор
KD-PD-7242;mat_8134a26777;сатин
KD-PD-7938;mat_78141744da;костяной фарфор
KD-PD-8256;mat_8134a26777;сатин
KD-PD-7939;mat_78141744da;костяной фарфор
KD-PD-7944;mat_78141744da;костяной фарфор
KD-PD-7940;mat_78141744da;костяной фарфор
KD-PD-7937;mat_78141744da;костяной фарфор
KD-PD-9713;mat_b05c8f9179;натуральная кожа
KD-PD-9718;mat_b05c8f9179;натуральная кожа
KD-PD-8768;mat_b05c8f9179;натуральная кожа
KD-PD-8770;mat_b05c8f9179;натуральная кожа
KD-PD-8765;mat_b05c8f9179;натуральная кожа
KD-PD-8777;mat_b05c8f9179;натуральная кожа
KD-PD-9711;mat_b05c8f9179;натуральная кожа
KD-PD-8776;mat_b05c8f9179;натуральная кожа
KD-PD-8758;mat_b05c8f9179;натуральная кожа
KD-PD-8967;mat_365f34cf69;Хлопок
KD-PD-8977;mat_365f34cf69;Хлопок
KD-PD-7227;mat_365f34cf69;Хлопок
KD-PD-9976;mat_58e183f60a;соевый воск
KD-PD-8242;mat_9d60ca580d;нержавеющая сталь 18/10
KD-PD-8243;mat_7950cf851a;Сталь
KD-PD-11419;mat_2ca5cf94f3;фарфор
KD-PD-11431;mat_2ca5cf94f3;фарфор
KD-PD-11429;mat_2ca5cf94f3;фарфор
KD-PD-11421;mat_2ca5cf94f3;фарфор
KD-PD-11418;mat_2ca5cf94f3;фарфор
KD-PD-11436;mat_78141744da;костяной фарфор
KD-PD-11518;mat_78141744da;костяной фарфор
KD-PD-11441;mat_78141744da;костяной фарфор
KD-PD-11449;mat_78141744da;костяной фарфор
KD-PD-11440;mat_78141744da;костяной фарфор
KD-PD-9415;mat_2ca5cf94f3;фарфор
KD-PD-9418;mat_2ca5cf94f3;фарфор
KD-PD-8984;mat_8134a26777;сатин
KD-PD-9975;mat_58e183f60a;соевый воск
KD-PD-9416;mat_2ca5cf94f3;фарфор
KD-PD-9417;mat_2ca5cf94f3;фарфор
KD-PD-10913;mat_2ca5cf94f3;фарфор
KD-PD-10911;mat_2ca5cf94f3;фарфор
KD-PD-10925;mat_2ca5cf94f3;фарфор
KD-PD-11141;mat_9b2ac80773;парафин
KD-PD-10928;mat_2ca5cf94f3;фарфор
KD-PD-10917;mat_2ca5cf94f3;фарфор
KD-PD-10915;mat_2ca5cf94f3;фарфор
KD-PD-10924;mat_2ca5cf94f3;фарфор
KD-PD-10927;mat_2ca5cf94f3;фарфор
KD-PD-10926;mat_2ca5cf94f3;фарфор
KD-PD-10918;mat_2ca5cf94f3;фарфор
KD-PD-10919;mat_2ca5cf94f3;фарфор
KD-PD-10920;mat_2ca5cf94f3;фарфор
KD-PD-10921;mat_2ca5cf94f3;фарфор
KD-PD-10922;mat_2ca5cf94f3;фарфор
KD-PD-10923;mat_2ca5cf94f3;фарфор
KD-PD-10944;mat_2ca5cf94f3;фарфор
KD-PD-11006;mat_365f34cf69;Хлопок
KD-PD-10945;mat_2ca5cf94f3;фарфор
KD-PD-10590;mat_365f34cf69;Хлопок
KD-PD-10591;mat_365f34cf69;Хлопок
KD-PD-10950;mat_2ca5cf94f3;фарфор
KD-PD-10459;mat_365f34cf69;Хлопок
