subcategory_id;category_id;category_name;subcategory_name;sort_order
sub_1f31f8093b;cat_c26358d6ce;Посуда и сервировка;Тарелки;1
sub_fdfec7942e;cat_c26358d6ce;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;2
sub_a84f50e982;cat_c26358d6ce;Посуда и сервировка;Кружки, чайные и кофейные пары;3
sub_ddc14f17b6;cat_c26358d6ce;Посуда и сервировка;Столовый текстиль;4
sub_1fd037451b;cat_a0b0e47bba;Пледы и подушки;Декоративные подушки;5
sub_8aadebfefa;cat_a0b0e47bba;Пледы и подушки;Плед;6
sub_b25ec2d0ad;cat_a0b0e47bba;Пледы и подушки;Покрывало;7
sub_ddc8d3685a;cat_309738921d;Постельное белье;Постельное белье;8
sub_e84fb641e5;cat_06e60bd4fa;Декор для дома;Свечи и диффузоры;9
sub_eb5c1fff3a;cat_c26358d6ce;Посуда и сервировка;Чайники, молочники и сахарницы;10
sub_f2969dd4bc;cat_06e60bd4fa;Декор для дома;Вазы и предметы интерьера;11
sub_2cf1fa1e31;cat_9161b9503e;Столовый текстиль;Столовый текстиль;12
sub_e4b3613237;cat_c26358d6ce;Посуда и сервировка;Блюда и подача;13
sub_437eaa4097;cat_06e60bd4fa;Декор для дома;Канцтовары;14
sub_1fc31bac1e;cat_06e60bd4fa;Декор для дома;Игры;15
sub_7ebef14b24;cat_06e60bd4fa;Декор для дома;Корзины;16
sub_4b617e294b;cat_9161b9503e;Столовый текстиль;Плейсматы;17
sub_0e61d043ef;cat_c26358d6ce;Посуда и сервировка;Салфетницы;18
sub_2ccd4e22c9;cat_c26358d6ce;Посуда и сервировка;Столовые приборы;19
sub_0184814ca1;cat_06e60bd4fa;Декор для дома;Подносы;20
sub_a1c01da16a;cat_06e60bd4fa;Декор для дома;Декор для дома;21
