solution_id;solution_name;product_id;article;product_name;relation_type
sol_f356f17b3b;Красные линии;KD-PD-00474;KD-PD-00474;Тарелка десертная Алая Нить;required
sol_f356f17b3b;Красные линии;KD-PD-00574;KD-PD-00574;Тарелка обеденная Алая Нить;required
sol_f356f17b3b;Красные линии;KD-PD-00575;KD-PD-00575;Салатник Алая Нить;required
sol_f356f17b3b;Красные линии;KD-PD-00576;KD-PD-00576;Супница Алая Нить;required
sol_f356f17b3b;Красные линии;KD-PD-11574;KD-PD-11574;Чайная пара Алая Нить;required
sol_f356f17b3b;Красные линии;KD-PD-11616;KD-PD-11616;Плейсмат Алая Нить;required
sol_f356f17b3b;Красные линии;KD-PD-11417;KD-PD-11417;Тарелка обеденная Овация;optional
sol_f356f17b3b;Красные линии;KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;optional
sol_f356f17b3b;Красные линии;KD-PD-11416;KD-PD-11416;Тарелка закусочная Овация;optional
sol_f356f17b3b;Красные линии;KD-PD-11514;KD-PD-11514;Чайная пара Овация;optional
sol_f356f17b3b;Красные линии;KD-PD-11428;KD-PD-11428;Чайник Овация;optional
sol_f356f17b3b;Красные линии;KD-PD-11430;KD-PD-11430;Сахарница Овация;optional
sol_f356f17b3b;Красные линии;KD-PD-11420;KD-PD-11420;Салатник Овация;optional
sol_f356f17b3b;Красные линии;KD-PD-11438;KD-PD-11438;Чайник Эхо;required
sol_f356f17b3b;Красные линии;KD-PD-114381;KD-PD-114381;Тарелка глубокая Эхо;required
sol_f356f17b3b;Красные линии;KD-PD-114382;KD-PD-114382;Тарелка закусочная Эхо;required
sol_f356f17b3b;Красные линии;KD-PD-114383;KD-PD-114383;Тарелка обеденная Эхо;required
sol_f356f17b3b;Красные линии;KD-PD-114384;KD-PD-114384;Тарелка десертная Эхо;required
sol_f356f17b3b;Красные линии;KD-PD-114385;KD-PD-114385;Супница Эхо;required
sol_f356f17b3b;Красные линии;KD-PD-10414;KD-PD-10414;Дорожка Мокоши;required
sol_f356f17b3b;Красные линии;KD-PD-10932;KD-PD-10932;Кофейная пара Мокоши;required
sol_f356f17b3b;Красные линии;KD-PD-10587;KD-PD-10587;Плейсмат Мокоши;required
sol_f356f17b3b;Красные линии;KD-PD-10567;KD-PD-10567;Салфетка Мокоши;required
sol_f356f17b3b;Красные линии;KD-PD-10450;KD-PD-10450;Скатерть Мокоши;required
sol_f356f17b3b;Красные линии;KD-PD-10400;KD-PD-10400;Тарелка десертная Мокоши;required
