solution_id;solution_name;entity_type;entity_id;entity_name
sol_f356f17b3b;Красные линии;collection;col_f4cc42144b;Алая нить
sol_f356f17b3b;Красные линии;collection;col_d2a2455e4e;Мокоши
sol_f356f17b3b;Красные линии;collection;col_02264c193e;Овация
sol_f356f17b3b;Красные линии;collection;col_6e53a82ab7;Оренбургские узоры
sol_f356f17b3b;Красные линии;collection;col_982eed716f;Росы
sol_f356f17b3b;Красные линии;collection;col_0cf6b281d9;Столовые приборы
sol_f356f17b3b;Красные линии;collection;col_369c12a8e3;Эхо
sol_211b78e5a8;Зимняя сказка;capsule;cap_616ab631d5;Ледяные узоры
sol_211b78e5a8;Зимняя сказка;capsule;cap_235a4f2c57;Лунная сказка
sol_211b78e5a8;Зимняя сказка;capsule;cap_fe08c5b62f;Нити
sol_211b78e5a8;Зимняя сказка;capsule;cap_fbe1debe5c;Тайна
sol_211b78e5a8;Зимняя сказка;capsule;cap_0495d7f773;Феникс
sol_211b78e5a8;Зимняя сказка;collection;col_d572e9eb8f;Бархат
sol_211b78e5a8;Зимняя сказка;collection;col_2b1b1d7eb6;Дрёмица
sol_211b78e5a8;Зимняя сказка;collection;col_616ab631d5;Ледяные узоры
sol_211b78e5a8;Зимняя сказка;collection;col_235a4f2c57;Лунная сказка
sol_211b78e5a8;Зимняя сказка;collection;col_fe08c5b62f;Нити
sol_211b78e5a8;Зимняя сказка;collection;col_6e53a82ab7;Оренбургские узоры
sol_211b78e5a8;Зимняя сказка;collection;col_982eed716f;Росы
sol_211b78e5a8;Зимняя сказка;collection;col_fbe1debe5c;Тайна
sol_211b78e5a8;Зимняя сказка;collection;col_0495d7f773;Феникс
sol_211b78e5a8;Зимняя сказка;collection;col_e15812afc0;Юрма
sol_f6f75e490c;Пламя морских глубин;capsule;cap_235a4f2c57;Лунная сказка
sol_f6f75e490c;Пламя морских глубин;capsule;cap_fe08c5b62f;Нити
sol_f6f75e490c;Пламя морских глубин;capsule;cap_fbe1debe5c;Тайна
sol_f6f75e490c;Пламя морских глубин;capsule;cap_0495d7f773;Феникс
sol_f6f75e490c;Пламя морских глубин;collection;col_d572e9eb8f;Бархат
sol_f6f75e490c;Пламя морских глубин;collection;col_9d34c5e77b;Дияф
sol_f6f75e490c;Пламя морских глубин;collection;col_2b1b1d7eb6;Дрёмица
sol_f6f75e490c;Пламя морских глубин;collection;col_235a4f2c57;Лунная сказка
sol_f6f75e490c;Пламя морских глубин;collection;col_fe08c5b62f;Нити
sol_f6f75e490c;Пламя морских глубин;collection;col_02264c193e;Овация
sol_f6f75e490c;Пламя морских глубин;collection;col_6e53a82ab7;Оренбургские узоры
sol_f6f75e490c;Пламя морских глубин;collection;col_982eed716f;Росы
sol_f6f75e490c;Пламя морских глубин;collection;col_fbe1debe5c;Тайна
sol_f6f75e490c;Пламя морских глубин;collection;col_0495d7f773;Феникс
sol_f6f75e490c;Пламя морских глубин;collection;col_e15812afc0;Юрма
sol_26270f94ad;Зеленый салон;collection;col_f61a6a0d8c;Весенний сад
sol_26270f94ad;Зеленый салон;collection;col_1b2574531b;Весна
sol_26270f94ad;Зеленый салон;collection;col_d84cdeb339;Многоцвет
sol_26270f94ad;Зеленый салон;collection;col_02264c193e;Овация
sol_26270f94ad;Зеленый салон;collection;col_23dacecafa;Петербург
sol_26270f94ad;Зеленый салон;collection;col_982eed716f;Росы
sol_26270f94ad;Зеленый салон;collection;col_0cf6b281d9;Столовые приборы
sol_26270f94ad;Зеленый салон;collection;col_369c12a8e3;Эхо
sol_bea84aa589;Теплый брутализм;collection;col_2b1b1d7eb6;Дрёмица
sol_bea84aa589;Теплый брутализм;collection;col_6e53a82ab7;Оренбургские узоры
sol_bea84aa589;Теплый брутализм;collection;col_982eed716f;Росы
sol_bea84aa589;Теплый брутализм;collection;col_0cf6b281d9;Столовые приборы
sol_bea84aa589;Теплый брутализм;collection;col_b9cced354f;Текстура
sol_bea84aa589;Теплый брутализм;collection;col_e15812afc0;Юрма
