scenario_id;scenario_name;sort_order;preset_status;default_quantity;quantity_rule;variant_selection_required;product_id;article;source_product_name;source_collection;collection_id;product_type;price_rub;product_url;primary_image_url;selection_reason;catalog_match_status
red-thread-tea;Красная нить;1;required;2;per_guest;false;KD-PD-10930;KD-PD-10930;Чайная пара Мокоши;Мокоши;col_d2a2455e4e;tea_pair;4590;https://kultura-doma.ru/product/chaynaya-para-mokoshi;https://kultura-doma.ru/public/src/images/gallery/catalog/694151510f837_big.jpg;"Главный орнаментальный герой; не заменять кофейной парой по умолчанию";exact_name
red-thread-tea;Красная нить;2;default;2;per_guest;false;;;Тарелка десертная Камея;Камея;;dessert_plate;1673;https://kultura-doma.ru/product/tarelka-desertnaya-kameya;https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a73285a37b_big.jpg;Нейтральная белая база не спорит с красной графикой;unmatched_source_item
red-thread-tea;Красная нить;3;default;2;per_guest;false;KD-PD-10567;KD-PD-10567;Салфетка Мокоши;Мокоши;col_d2a2455e4e;napkin;1990;https://kultura-doma.ru/product/salfetka-mokoshi;https://kultura-doma.ru/public/src/images/gallery/catalog/69f2194d979a2_big.jpg;Поддерживает главный орнамент;exact_name
red-thread-tea;Красная нить;4;default;1;fixed;false;;;Дорожка с кисточками Мокоши;Мокоши;col_d2a2455e4e;table_runner;14900;https://kultura-doma.ru/product/dorozhka-mokoshi;https://kultura-doma.ru/public/src/images/gallery/catalog/69f218c75fc49_big.jpg;Текстильная ось композиции;unmatched_source_item
red-thread-tea;Красная нить;5;optional;1;fixed;false;;;Сахарница Камея;Камея;;sugar_bowl;2513;https://kultura-doma.ru/product/saharnica-kameya;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394af59a5dc_big.jpg;Функциональное дополнение;unmatched_source_item
red-thread-tea;Красная нить;6;optional;1;fixed;false;;;Молочник Камея;Камея;;milk_jug;1673;https://kultura-doma.ru/product/molochnik-kameya;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394aeea5edf_big.jpg;Функциональное дополнение;unmatched_source_item
quiet-obereg;Тихий оберег;1;required;2;per_guest;false;KD-PD-11514;KD-PD-11514;Чайная пара Овация;Овация;col_02264c193e;tea_pair;1194;https://kultura-doma.ru/product/chaynaya-para-ovaciya;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394afacf9ef_big.jpg;Фактурный белый фарфор поддерживает деликатный текстиль;exact_name
quiet-obereg;Тихий оберег;2;default;2;per_guest;false;;;Салфетка Обереги;Обереги;;napkin;1990;https://kultura-doma.ru/product/salfetka-oberegi;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4285ec3ef3f_big.jpg;Мягкий бело-синий акцент;unmatched_source_item
quiet-obereg;Тихий оберег;3;default;2;per_guest;false;;;Плейсмат Обереги;Обереги;;placemat;2590;https://kultura-doma.ru/product/pleysmat-oberegi;https://kultura-doma.ru/public/src/images/gallery/catalog/6a575b0f807d4_big.jpg;Посадочное место;unmatched_source_item
quiet-obereg;Тихий оберег;4;optional;1;fixed;false;KD-PD-11429;KD-PD-11429;Молочник Овация;Овация;col_02264c193e;milk_jug;894;https://kultura-doma.ru/product/molochnik-ovaciya;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394afd5391f_big.jpg;Низкопороговый функциональный upsell;exact_name
quiet-obereg;Тихий оберег;5;optional;1;fixed;false;;;Скатерть с вышивкой Обереги;Обереги;;tablecloth;22900;https://kultura-doma.ru/product/skatert-s-vyshivkoy-oberegi-pryamougol-naya;https://kultura-doma.ru/public/src/images/gallery/catalog/697b7b278ca62_big.jpg;Премиальное расширение набора;unmatched_source_item
sky-celebration;Небесный праздник;1;required;2;per_guest;false;KD-PD-10951;KD-PD-10951;Чайная пара Дияф;Дияф;col_9d34c5e77b;tea_pair;2394;https://kultura-doma.ru/product/chaynaya-para-diyaf;https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/698dee8e5df80_big__f5d5701899.jpg;Главный голубой и золотой акцент;exact_name
sky-celebration;Небесный праздник;2;default;1;fixed;false;KD-PD-11006;KD-PD-11006;Дорожка Дияф;Дияф;col_9d34c5e77b;table_runner;2694;https://kultura-doma.ru/product/dorozhka-diyaf;https://kultura-doma.ru/public/src/images/gallery/catalog/69f218d992ea2_big.jpg;Праздничная текстильная основа;exact_name
sky-celebration;Небесный праздник;3;default;2;per_guest;false;KD-PD-10591;KD-PD-10591;Салфетка Дияф;Дияф;col_9d34c5e77b;napkin;1194;https://kultura-doma.ru/product/salfetka-diyaf;https://kultura-doma.ru/public/src/images/gallery/catalog/6a428351b8c77_big.jpg;Поддерживает фарфор без второго паттерна;exact_name
sky-celebration;Небесный праздник;4;default;2;per_guest;false;KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;Овация;col_02264c193e;dessert_plate;894;https://kultura-doma.ru/product/tarelka-desertnaya-ovaciya;https://kultura-doma.ru/public/src/images/gallery/catalog/69a59fe31bc63_big.jpg;Фактурная белая база;exact_name
sky-celebration;Небесный праздник;5;optional;1;fixed;false;;;Чайник заварочный Дияф;Дияф;col_9d34c5e77b;teapot;2994;https://kultura-doma.ru/product/chaynik-zavarochnyy-diyaf;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b019545c_big.jpg;Собирает чайный ритуал;unmatched_source_item
sky-celebration;Небесный праздник;6;optional;1;fixed;false;KD-PD-10950;KD-PD-10950;Сахарница Дияф;Дияф;col_9d34c5e77b;sugar_bowl;2094;https://kultura-doma.ru/product/saharnica-diyaf;https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/698ded3fbd8f9_big__3230560b72.jpg;Собирает чайный ритуал;exact_name
green-salon;Зелёный салон;1;required;2;per_guest;false;KD-PD-7940;KD-PD-7940;Чайная пара Петербург;Петербург;col_23dacecafa;tea_pair;4995;https://kultura-doma.ru/product/chaynaya-para-peterburg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394ba34f611_big.jpg;Зелёный городской герой сервировки;exact_name
green-salon;Зелёный салон;2;default;1;fixed;false;KD-PD-8312;KD-PD-8312;Дорожка Петербург;Петербург;col_23dacecafa;table_runner;2500;https://kultura-doma.ru/product/dorozhka-peterburg;https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cb89b24_big.jpg;Графическая ось стола;exact_name
green-salon;Зелёный салон;3;default;2;per_guest;false;KD-PD-7242;KD-PD-7242;Салфетки Петербург;Петербург;col_23dacecafa;napkin;650;https://kultura-doma.ru/product/dorozhka-peterburg-572;https://kultura-doma.ru/public/src/images/gallery/catalog/69f2194fe62aa_big.jpg;Поддерживает зелёный ритм;exact_name
green-salon;Зелёный салон;4;default;2;per_guest;false;KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;Овация;col_02264c193e;dessert_plate;894;https://kultura-doma.ru/product/tarelka-desertnaya-ovaciya;https://kultura-doma.ru/public/src/images/gallery/catalog/69a59fe31bc63_big.jpg;Белая фактурная база;exact_name
green-salon;Зелёный салон;5;optional;1;fixed;false;KD-PD-7939;KD-PD-7939;Сливочник Петербург;Петербург;col_23dacecafa;milk_jug;6450;https://kultura-doma.ru/product/slivochnik-peterburg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a632cffe8804_big.jpg;Функциональное дополнение;exact_name
green-salon;Зелёный салон;6;optional;1;fixed;false;KD-PD-7937;KD-PD-7937;Чайник Петербург;Петербург;col_23dacecafa;teapot;9950;https://kultura-doma.ru/product/chaynik-peterburg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394f8eb12f9_big.jpg;Премиальное расширение;exact_name
blue-hour-bedroom;Голубой час;1;required;1;variant_selection_required;true;;;Комплект постельного белья Обереги;Обереги;;bedding_set;20900;https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-oberegi;https://kultura-doma.ru/public/src/images/gallery/catalog/6a34f7959c901_big.jpg;"Основа; размер пользователь выбирает до добавления";unmatched_source_item
blue-hour-bedroom;Голубой час;2;default;1;fixed;false;;;Подушка декоративная Нити времени;Нити времени;;decorative_pillow;2745;https://kultura-doma.ru/product/podushka-dekorativnaya-niti-vremeni;https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/69e5d18433139_big__83f18d3de5.jpg;Голубой декоративный акцент;unmatched_source_item
blue-hour-bedroom;Голубой час;3;default;1;fixed;false;KD-PD-10786;KD-PD-10786;Подушка декоративная Пушица;Оренбургские узоры;col_6e53a82ab7;decorative_pillow;9900;https://kultura-doma.ru/product/podushka-dekorativnaya-pushica-1295;https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/6a5f322580c1f_big__057264d6b7.jpg;Ажурная голубая текстура;exact_name
blue-hour-bedroom;Голубой час;4;optional;1;fixed;false;KD-PD-10841;KD-PD-10841;Плед Пушица;Оренбургские узоры;col_6e53a82ab7;throw;29900;https://kultura-doma.ru/product/pled-pushica-1291;https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/690ca7e8a1da2_big__478b4f104c.jpg;Премиальный текстильный слой;exact_name
blue-hour-bedroom;Голубой час;5;optional;1;fixed;false;;;Свеча с ароматом Копченая клюква Нити Времени;Нити времени;;candle;4990;https://kultura-doma.ru/product/aromasvecha-niti-vremeni-v-farforovom-podsvechnike-kopchenaya-klyukva-1501;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f7f938779f_big.jpg;Атмосферное дополнение;unmatched_source_item
