group_id;group_name;normalized_name;swatch_hex;sort_order
cgrp_398bc3d0f7;Синий;синий;#35546F;1
cgrp_a39ee8788e;Голубой;голубой;#AFC9D7;2
cgrp_2818a16c64;Белый;белый;#F5F3EE;3
cgrp_7ca5cf6f56;Бежевый;бежевый;#D7C3A5;4
cgrp_df6d4fc5b2;Коричневый;коричневый;#6F4E37;5
cgrp_d74fedd1fa;Черный;черный;#1E1E1E;6
cgrp_417dc1f5c1;Пудровый;пудровый;#D8B7AE;7
cgrp_2372492028;Зеленый;зеленый;#72816B;8
cgrp_8717c2ffa9;Красный;красный;#9A443B;9
cgrp_db1adb0a92;Желтый;желтый;#D2B65C;10
cgrp_b988d894d3;Золотой;золотой;#C3A05B;11
cgrp_812476ce58;Серебряный;серебряный;#B7B9B8;12
cgrp_6e3a178629;Прозрачный;прозрачный;#F4F4F2;13
