product_id;article;product_name;popularity_rank;variant_count;category_id;category;subcategory_id;subcategory;min_price_rub;max_price_rub;min_old_price_rub;max_old_price_rub;primary_image;available
KD-PD-00474;KD-PD-00474;Тарелка десертная Алая Нить;1;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;5599;5599;;;/assets/images/KD-PD-00474.png;true
KD-PD-00574;KD-PD-00574;Тарелка обеденная Алая Нить;2;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;6599;6599;;;/assets/images/KD-PD-00574.png;true
KD-PD-00575;KD-PD-00575;Салатник Алая Нить;3;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;7599;7599;;;/assets/images/KD-PD-00575.png;true
KD-PD-00576;KD-PD-00576;Супница Алая Нить;4;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;7599;7599;;;/assets/images/KD-PD-00576.png;true
KD-PD-11574;KD-PD-11574;Чайная пара Алая Нить;5;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;6599;6599;;;/assets/images/KD-PD-11574.png;true
KD-PD-11616;KD-PD-11616;Плейсмат Алая Нить;6;1;cat_c26358d6ce;Посуда и сервировка;sub_9161b9503e;Столовый текстиль;3599;3599;;;/assets/images/KD-PD-11616.png;true
KD-PD-1023;KD-PD-1023;Подушка с кружевом;7;3;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;5990;5990;;;/assets/images/KD-PD-1023-BLUE02.png;true
KD-PD-1026;KD-PD-1026;Плед из кружева;8;3;cat_a0b0e47bba;Пледы и подушки;sub_39802e3471;Плед;12990;12990;;;/assets/images/KD-PD-1026-BLUE02.png;true
KD-PD-1027;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;9;4;cat_a0b0e47bba;Пледы и подушки;sub_9d8f8a7b48;Покрывало;8690;8690;;;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png;true
KD-PD-1030;KD-PD-1030;"Чайная пара ""Лунная сказка""";10;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;6990;6990;;;/assets/images/time-tea-pair.png;true
KD-PD-1024;KD-PD-1024;"Комплект постельного белья ""Лунная сказка""";11;3;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;15990;20990;;;/assets/images/KD-PD-1024-DARK01.png;true
KD-PD-1025;KD-PD-1025;"Тарелка ""Лунная сказка""";12;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;5990;5990;;;/assets/images/moon-plate.png;true
KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;13;9;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;4990;6990;;;/assets/images/KD-PD-1028-WHITE01.png;true
KD-PD-1128;KD-PD-1128;Наволочка из сатина;14;3;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;4990;4990;;;/assets/images/KD-PD-1128-WHITE01.png;true
KD-PD-2519;KD-PD-2519;Свеча Феникс;15;2;cat_06e60bd4fa;Декор для дома;sub_96372e8877;Свечи и диффузоры;4990;4990;;;/assets/images/KD-PD-2519.png;true
KD-PD-11417;KD-PD-11417;Тарелка обеденная Овация;16;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;1794;1794;2990;2990;/assets/images/69cfd1dbd8788_big.jpg;true
KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;17;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;894;894;1490;1490;/assets/images/69a59fe31bc63_big.jpg;true
KD-PD-11416;KD-PD-11416;Тарелка закусочная Овация;18;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;1314;1314;2190;2190;/assets/images/69a59ff7219ee_big.jpg;true
KD-PD-11514;KD-PD-11514;Чайная пара Овация;19;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;1194;1194;1990;1990;/assets/images/6a85be4b7c47d_big.jpg;true
KD-PD-11428;KD-PD-11428;Чайник Овация;20;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;2394;2394;3990;3990;/assets/images/6a85bf69a9fab_big.jpg;true
KD-PD-11430;KD-PD-11430;Сахарница Овация;21;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;954;954;1590;1590;/assets/images/6a85b5ce5156c_big.jpg;true
KD-PD-11420;KD-PD-11420;Салатник Овация;22;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;1794;1794;2990;2990;/assets/images/6a85b4e761a4c_big.jpg;true
KD-PD-11438;KD-PD-11438;Чайник Эхо;23;2;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;5593;6593;7990;9990;/assets/images/6a85bf6840c27_big.jpg;true
KD-PD-11438A;KD-PD-11438A;Чайная пара Эхо;24;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;2233;2233;3190;3190;/assets/images/6a85bf55372ef_big.jpg;true
KD-PD-114381;KD-PD-114381;Тарелка глубокая Эхо;25;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;3353;3353;4790;4790;/assets/images/6a85b7d65b6f3_big.jpg;true
KD-PD-114382;KD-PD-114382;Тарелка закусочная Эхо;26;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;2233;2233;3190;3190;/assets/images/6a85bab0339ea_big.jpg;true
KD-PD-114383;KD-PD-114383;Тарелка обеденная Эхо;27;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;2793;2793;3990;3990;/assets/images/6a06d76222d16_big.jpg;true
KD-PD-114384;KD-PD-114384;Тарелка десертная Эхо;28;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;1673;1673;2390;2390;/assets/images/6a85ba923b6ef_big.jpg;true
KD-PD-114385;KD-PD-114385;Супница Эхо;29;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;7273;7273;10390;10390;/assets/images/6a85b6e1b4b86_big.jpg;true
KD-PD-10288;KD-PD-10288;Ваза Айсберг;30;2;cat_06e60bd4fa;Декор для дома;sub_670975bdc1;Вазы и предметы интерьера;14900;16900;;;/assets/images/6a0d5b3b35c53_big.jpg;true
KD-PD-11020;KD-PD-11020;Ваза Паскаль;31;2;cat_06e60bd4fa;Декор для дома;sub_670975bdc1;Вазы и предметы интерьера;24900;24900;;;/assets/images/6a0d5b4123311_big.jpg;true
KD-PD-10414;KD-PD-10414;Дорожка Мокоши;32;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;14900;14900;;;/assets/images/6a84708e939ec_big.jpg;true
KD-PD-10932;KD-PD-10932;Кофейная пара Мокоши;33;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;2990;2990;;;/assets/images/69441f32012f2_big.jpg;true
KD-PD-10587;KD-PD-10587;Плейсмат Мокоши;34;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;1590;1590;;;/assets/images/6a84709a367e8_big.jpg;true
KD-PD-10567;KD-PD-10567;Салфетка Мокоши;35;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;1990;1990;;;/assets/images/6a8470a8f0e87_big.jpg;true
KD-PD-10450;KD-PD-10450;Скатерть Мокоши;36;2;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;19900;20900;;;/assets/images/6a8471f1dc0ec_big.jpg;true
KD-PD-10400;KD-PD-10400;Тарелка десертная Мокоши;37;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;2990;2990;;;/assets/images/694150e829683_big.jpg;true
KD-PD-10930;KD-PD-10930;Чайная пара Мокоши;38;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;4590;4590;;;/assets/images/694151510f837_big.jpg;true
KD-PD-8985;KD-PD-8985;Скатерть Весна;39;2;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;9900;9900;;;/assets/images/KD-PD-8985.png;true
KD-PD-8982;KD-PD-8982;Плейсмат Весна;40;4;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;990;990;;;/assets/images/KD-PD-8982WHITE.png;true
KD-PD-11033;KD-PD-11033;Подушка декоративная Алатырь;41;1;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;5990;5990;;;/assets/images/69e233fdc6992_big.jpg;true
KD-PD-11034;KD-PD-11034;Подушка декоративная Мокоши;42;1;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;5990;5990;;;/assets/images/69e234045d0a5_big.jpg;true
KD-PD-10841;KD-PD-10841;Плед Пушица;43;3;cat_a0b0e47bba;Пледы и подушки;sub_39802e3471;Плед;29900;29900;;;/assets/images/KD-PD-10841БЕЖЕВЫЙ.png;true
KD-PD-10786;KD-PD-10786;Подушка декоративная Пушица;44;3;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;9900;9900;;;/assets/images/KD-PD-10786БЕЖЕВЫЙ.png;true
KD-PD-7947;KD-PD-7947;Блюдо Петербург;45;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;5995;5995;11990;11990;/assets/images/687e4847be118_big.jpg;true
KD-PD-8312;KD-PD-8312;Дорожка Петербург;46;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;2500;2500;5000;5000;/assets/images/6a8317467f780_big.jpg;true
KD-PD-7941;KD-PD-7941;Кружка Петербург;47;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;4995;4995;9990;9990;/assets/images/68ee0faf95812_big.png;true
KD-PD-7942;KD-PD-7942;Салатник Петербург;48;2;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;2995;5995;5990;11990;/assets/images/6a3a860480fbd_big.jpg;true
KD-PD-7242;KD-PD-7242;Салфетки Петербург;49;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;650;650;1300;1300;/assets/images/6a831e350cf34_big.jpg;true
KD-PD-7938;KD-PD-7938;Сахарница Петербург;50;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;7950;7950;15900;15900;/assets/images/6a394b88d86f5_big.jpg;true
KD-PD-8256;KD-PD-8256;Скатерть Петербург;51;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;7250;7250;14500;14500;/assets/images/6a847053607fe_big.jpg;true
KD-PD-7939;KD-PD-7939;Сливочник Петербург;52;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;6450;6450;12900;12900;/assets/images/6a632cffe8804_big.jpg;true
KD-PD-7944;KD-PD-7944;Тарелка Петербург;53;3;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;2895;3995;5790;7990;/assets/images/6a06d7497fe35_big.jpg;true
KD-PD-7940;KD-PD-7940;Чайная пара Петербург;54;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;4995;4995;9990;9990;/assets/images/6a394ba34f611_big.jpg;true
KD-PD-7937;KD-PD-7937;Чайник Петербург;55;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;9950;9950;19900;19900;/assets/images/6a394f8eb12f9_big.jpg;true
KD-PD-9713;KD-PD-9713;Обложка для ежедневника Текстура;56;1;cat_06e60bd4fa;Декор для дома;sub_d0e0f50010;Канцтовары;2600;2600;6500;6500;/assets/images/6a43759554a63_big.jpg;true
KD-PD-9718;KD-PD-9718;Игра домино Текстура;57;2;cat_06e60bd4fa;Декор для дома;sub_6167da3955;Игры;6200;6200;15500;15500;/assets/images/6a4375af70c8c_big.jpg;true
KD-PD-8768;KD-PD-8768;Игра крестики - нолики Текстура;58;2;cat_06e60bd4fa;Декор для дома;sub_6167da3955;Игры;9000;9000;22500;22500;/assets/images/6a4374d62377f_big.jpg;true
KD-PD-8770;KD-PD-8770;Игра шашки Текстура;59;2;cat_06e60bd4fa;Декор для дома;sub_6167da3955;Игры;13000;13000;32500;32500;/assets/images/6a4374dca3f1b_big.jpg;true
KD-PD-8765;KD-PD-8765;Корзина Текстура;60;2;cat_06e60bd4fa;Декор для дома;sub_2ac728af60;Корзины;8840;15960;22100;39900;/assets/images/6a4374d0b98ff_big.jpg;true
KD-PD-8777;KD-PD-8777;Плейсмат Текстура;61;3;cat_9161b9503e;Столовый текстиль;sub_93a000ac87;Плейсматы;3960;3960;9900;9900;/assets/images/6a4374f158e23_big.jpg;true
KD-PD-9711;KD-PD-9711;Поднос Текстура;62;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;11800;11800;29500;29500;/assets/images/6a58e99971c7c_big.jpg;true
KD-PD-8776;KD-PD-8776;Подставка под бокал Текстура;63;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;596;596;1490;1490;/assets/images/6a4374ed2e7de_big.jpg;true
KD-PD-8758;KD-PD-8758;Салфетница Текстура;64;2;cat_c26358d6ce;Посуда и сервировка;sub_cf0cda3355;Салфетницы;5040;5040;12600;12600;/assets/images/6a4374b928bc8_big.jpg;true
KD-PD-8967;KD-PD-8967;Дорожка Многоцвет;65;3;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;2495;3495;4990;6990;/assets/images/68b028406ce99_big.jpg;true
KD-PD-8977;KD-PD-8977;Конверт для столовых приборов Многоцветы;66;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;345;345;690;690;/assets/images/6a46789a02f21_big.jpg;true
KD-PD-7227;KD-PD-7227;Скатерть Многоцвет;67;3;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;4495;4495;8990;8990;/assets/images/6a0abbf14fafb_big.jpg;true
KD-PD-9976;KD-PD-9976;Свеча Многоцветы;68;1;cat_06e60bd4fa;Декор для дома;sub_96372e8877;Свечи и диффузоры;792;792;990;990;/assets/images/69df5f57970e0_big.jpg;true
