color_id;normalized_key;color_label;slug;color_family;swatch_hex;product_count;variant_count
clr_7ca5cf6f56;бежевый;Бежевый;bezhevyi;beige;#D7C3A5;8;8
clr_d74fedd1fa;черный;Черный;chernyi;black;#1E1E1E;7;7
clr_398bc3d0f7;синий;Синий;sinii;blue;#35546F;3;3
clr_3afdfac7c7;серо-синий;Серо-синий;sero-sinii;blue_grey;#647985;1;2
clr_df6d4fc5b2;коричневый;Коричневый;korichnevyi;brown;#6F4E37;12;14
clr_78e4123512;экрю;Экрю;ekryu;ecru;#E3D5BD;2;2
clr_b988d894d3;золотой;Золотой;zolotoi;gold;#C3A05B;7;9
clr_2372492028;зеленый;Зеленый;zelenyi;green;#72816B;2;3
clr_eaa16fa223;ледяной голубой;Ледяной Голубой;ledyanoi-goluboi;ice_blue;#BFD6DE;2;2
clr_89001f99bc;молочный;Молочный;molochnyi;ivory;#EEE8DA;3;4
clr_a39ee8788e;голубой;Голубой;goluboi;light_blue;#AFC9D7;17;19
clr_7e1922e6be;ночной синий;Ночной синий;nochnoi-sinii;navy;#243746;9;15
clr_417dc1f5c1;пудровый;Пудровый;pudrovyi;powder;#D8B7AE;3;7
clr_8717c2ffa9;красный;Красный;krasnyi;red;#9A443B;2;2
clr_812476ce58;серебряный;Серебряный;serebryanyi;silver;#B7B9B8;2;2
clr_9aae9f80f3;небесный;Небесный;nebesnyi;sky_blue;#B7D4E6;1;3
clr_6e3a178629;прозрачный;Прозрачный;prozrachnyi;transparent;#F4F4F2;1;1
clr_2818a16c64;белый;Белый;belyi;white;#F5F3EE;104;126
clr_db1adb0a92;желтый;Желтый;zheltyi;yellow;#D2B65C;1;1
