subcategory_id;normalized_key;subcategory_label;slug;parent_category_ids;product_count;variant_count
sub_cabc3a88c6;блюда и подача;Блюда и подача;blyuda-i-podacha;cat_c26358d6ce;14;15
sub_670975bdc1;вазы и предметы интерьера;Вазы и предметы интерьера;vazy-i-predmety-interera;cat_06e60bd4fa;2;4
sub_06e60bd4fa;декор для дома;Декор для дома;dekor-dlya-doma;cat_06e60bd4fa;2;2
sub_a86f8f51fb;декоративные подушки;Декоративные подушки;dekorativnye-podushki;cat_a0b0e47bba;7;14
sub_6167da3955;игры;Игры;igry;cat_06e60bd4fa;3;6
sub_d0e0f50010;канцтовары;Канцтовары;kanctovary;cat_06e60bd4fa;1;1
sub_2ac728af60;корзины;Корзины;korziny;cat_06e60bd4fa;1;2
sub_96524f0b0f;кружки, чайные и кофейные пары;Кружки, чайные и кофейные пары;kruzhki-chainye-i-kofeinye-pary;cat_c26358d6ce;19;19
sub_39802e3471;плед;Плед;pled;cat_a0b0e47bba;3;7
sub_93a000ac87;плейсматы;Плейсматы;pleismaty;cat_9161b9503e;1;3
sub_e2ccec5fae;подносы;Подносы;podnosy;cat_06e60bd4fa;1;2
sub_9d8f8a7b48;покрывало;Покрывало;pokryvalo;cat_a0b0e47bba;1;4
sub_309738921d;постельное белье;Постельное белье;postelnoe-bele;cat_309738921d;6;31
sub_506b04c158;салатники, cупницы и глубокие тарелки;Салатники, cупницы и глубокие тарелки;salatniki-cupnicy-i-glubokie-tarelki;cat_c26358d6ce;12;14
sub_cf0cda3355;салфетницы;Салфетницы;salfetnicy;cat_c26358d6ce;1;2
sub_96372e8877;свечи и диффузоры;Свечи и диффузоры;svechi-i-diffuzory;cat_06e60bd4fa;8;16
sub_0cf6b281d9;столовые приборы;Столовые приборы;stolovye-pribory;cat_c26358d6ce;2;2
sub_9161b9503e;столовый текстиль;Столовый текстиль;stolovyi-tekstil;cat_9161b9503e|cat_c26358d6ce;18;28
sub_e0dae1999b;тарелки;Тарелки;tarelki;cat_c26358d6ce;24;27
sub_afbde0ee64;чайники, молочники и са×арницы;Чайники, молочники и сахарницы;chainiki-molochniki-i-sa-arnicy;cat_c26358d6ce;13;14
