filter_code;value_id;label;slug;product_count;variant_count;group_or_type;swatch_or_unit
aroma;aro_5307137d11;Апельсин;apelsin;1;1;;
aroma;aro_22aa82e2f4;Без аромата;bez-aromata;1;1;;
aroma;aro_fb0224d609;Ваниль;vanil;1;1;;
aroma;aro_df65c1cffb;Дерево жизни;derevo-zhizni;1;1;;
aroma;aro_75af4d2eb2;Древесный табак;drevesnyi-tabak;1;2;;
aroma;aro_068a1ade53;Кокос;kokos;1;1;;
aroma;aro_7609b44cad;Мята;myata;1;1;;
aroma;aro_8158c7d226;Сандал;sandal;1;1;;
aroma;aro_7e2909c610;Сандал и шалфей;sandal-i-shalfei;1;1;;
aroma;aro_55bdac670d;Уд;ud;1;2;;
capsule;cap_616ab631d5;Ледяные узоры;ledyanye-uzory;5;9;;
capsule;cap_235a4f2c57;Лунная сказка;lunnaya-skazka;5;11;;
capsule;cap_fe08c5b62f;Нити;niti;2;3;;
capsule;cap_fbe1debe5c;Тайна;taina;6;11;;
capsule;cap_0495d7f773;Феникс;feniks;3;4;;
collection;col_f4cc42144b;Алая нить;alaya-nit;6;6;;
collection;col_56ec8dad2a;Бархат;bar-at;1;4;;
collection;col_f61a6a0d8c;Весенний сад;vesennii-sad;16;17;;
collection;col_1b2574531b;Весна;vesna;8;12;;
collection;col_9d34c5e77b;Дияф;diyaf;12;13;;
collection;col_2b1b1d7eb6;Дрёмица;dremica;4;5;;
collection;col_616ab631d5;Ледяные узоры;ledyanye-uzory;5;9;;
collection;col_235a4f2c57;Лунная сказка;lunnaya-skazka;3;5;;
collection;col_d84cdeb339;Многоцвет;mnogocvet;4;8;;
collection;col_d2a2455e4e;Мокоши;mokoshi;9;10;;
collection;col_fe08c5b62f;Нити;niti;2;3;;
collection;col_02264c193e;Овация;ovaciya;12;12;;
collection;col_6e53a82ab7;Оренбургские узоры;orenburgskie-uzory;2;6;;
collection;col_23dacecafa;Петербург;peterburg;11;14;;
collection;col_982eed716f;Росы;rosy;1;1;;
collection;col_0cf6b281d9;Столовые приборы;stolovye-pribory;2;2;;
collection;col_fbe1debe5c;Тайна;taina;6;11;;
collection;col_b9cced354f;Текстура;tekstura;9;16;;
collection;col_0495d7f773;Феникс;feniks;3;4;;
collection;col_dfe46751a4;Эхо;e-o;12;13;;
collection;col_e15812afc0;Юрма;yurma;2;2;;
color;clr_7ca5cf6f56;Бежевый;bezhevyi;8;8;beige;#D7C3A5
color;clr_2818a16c64;Белый;belyi;104;126;white;#F5F3EE
color;clr_a39ee8788e;Голубой;goluboi;17;19;light_blue;#AFC9D7
color;clr_db1adb0a92;Желтый;zheltyi;1;1;yellow;#D2B65C
color;clr_2372492028;Зеленый;zelenyi;2;3;green;#72816B
color;clr_b988d894d3;Золотой;zolotoi;7;9;gold;#C3A05B
color;clr_df6d4fc5b2;Коричневый;korichnevyi;12;14;brown;#6F4E37
color;clr_8717c2ffa9;Красный;krasnyi;2;2;red;#9A443B
color;clr_eaa16fa223;Ледяной Голубой;ledyanoi-goluboi;2;2;ice_blue;#BFD6DE
color;clr_89001f99bc;Молочный;molochnyi;3;4;ivory;#EEE8DA
color;clr_9aae9f80f3;Небесный;nebesnyi;1;3;sky_blue;#B7D4E6
color;clr_7e1922e6be;Ночной синий;nochnoi-sinii;9;15;navy;#243746
color;clr_6e3a178629;Прозрачный;prozrachnyi;1;1;transparent;#F4F4F2
color;clr_417dc1f5c1;Пудровый;pudrovyi;3;7;powder;#D8B7AE
color;clr_812476ce58;Серебряный;serebryanyi;2;2;silver;#B7B9B8
color;clr_3afdfac7c7;Серо-синий;sero-sinii;1;2;blue_grey;#647985
color;clr_398bc3d0f7;Синий;sinii;3;3;blue;#35546F
color;clr_d74fedd1fa;Черный;chernyi;7;7;black;#1E1E1E
color;clr_78e4123512;Экрю;ekryu;2;2;ecru;#E3D5BD
material;mat_56ec8dad2a;Бархат;bar-at;1;2;other;
material;mat_968dc350ce;Дерево / Металл;derevo-metall;4;5;wood;
material;mat_83c3ac303b;Керамика;keramika;2;2;ceramic;
material;mat_78141744da;Костяной фарфор;kostyanoi-farfor;21;24;bone_porcelain;
material;mat_65b3266963;Лён;len;1;1;linen;
material;mat_9a7e557bb3;Микровелюр;mikrovelyur;1;4;microvelour;
material;mat_b05c8f9179;Натуральная кожа;naturalnaya-kozha;9;16;leather;
material;mat_564161e33b;Нержавеющая сталь 18/10;nerzhaveyuschaya-stal-18-10;1;1;steel;
material;mat_9b2ac80773;Парафин;parafin;1;1;wax;
material;mat_8134a26777;Сатин;satin;6;8;satin;
material;mat_58e183f60a;Соевый воск;soevyi-vosk;2;2;wax;
material;mat_7950cf851a;Сталь;stal;1;1;steel;
material;mat_e08aad5924;Стекло;steklo;2;5;glass;
material;mat_2ca5cf94f3;Фарфор;farfor;57;61;porcelain;
material;mat_84ce26e46a;Хлопок;lopok;16;32;other;
material;mat_f0098831c8;Хрусталь;rustal;1;1;steel;
material;mat_1afde5d89a;Шелк;shelk;4;27;silk;
material;mat_abe1028d51;Шерсть и хлопок;sherst-i-lopok;1;1;wool;
size;siz_24d7b4453f;10 см;10-sm;1;2;single_dimension;cm
size;siz_43f3472507;11 см;11-sm;2;7;single_dimension;cm
size;siz_3c782d85f7;1100 мл;1100-ml;1;1;volume;ml
size;siz_a8cc77e46a;12×12 см;12-12-sm;1;2;dimensions;cm
size;siz_655a7a3c8a;12×23 см;12-23-sm;1;1;dimensions;cm
size;siz_f470eecae1;130 мл;130-ml;2;4;volume;ml
size;siz_941d591466;1300 мл;1300-ml;1;1;volume;ml
size;siz_c5bd73e21d;140×200 см;140-200-sm;1;1;dimensions;cm
size;siz_b3c8463150;15 см;15-sm;1;1;single_dimension;cm
size;siz_397dcdf588;150 мл;150-ml;1;1;volume;ml
size;siz_01cc00cc82;150×200 см;150-200-sm;1;3;dimensions;cm
size;siz_d912785d7f;16 см;16-sm;1;1;single_dimension;cm
size;siz_afaeec8f84;160 мл;160-ml;1;1;volume;ml
size;siz_0ae0bcf1dd;165×45 см;165-45-sm;1;1;dimensions;cm
size;siz_ca6b1b687c;18 см;18-sm;4;4;single_dimension;cm
size;siz_03210f0271;1800 мл;1800-ml;1;1;volume;ml
size;siz_a394ecc680;180×180 см;180-180-sm;2;2;dimensions;cm
size;siz_e7edbe079b;180×250 см;180-250-sm;5;5;dimensions;cm
size;siz_b5e9a22963;180×350 см;180-350-sm;3;3;dimensions;cm
size;siz_4863737db2;19 см;19-sm;4;4;single_dimension;cm
size;siz_f666e724c3;20 см;20-sm;2;2;single_dimension;cm
size;siz_8b267a4c84;200×220 см;200-220-sm;1;3;dimensions;cm
size;siz_fa6844a343;21 см;21-sm;2;2;single_dimension;cm
size;siz_8d48128ce0;21×21×9,5 см;21-21-9-5-sm;1;1;dimensions;cm
size;siz_09dec09047;22 см;22-sm;1;1;single_dimension;cm
size;siz_66438ea56f;23 см;23-sm;7;8;single_dimension;cm
size;siz_4084e2cc5c;24 см;24-sm;2;3;single_dimension;cm
size;siz_52f22adf9e;240 мл;240-ml;1;1;volume;ml
size;siz_f161ee1e53;24×16 см;24-16-sm;1;1;dimensions;cm
size;siz_89b0e8f00b;25 см;25-sm;3;3;single_dimension;cm
size;siz_e96e39567e;25,5 см;25-5-sm;2;2;single_dimension;cm
size;siz_6c0bc92bb9;250 мл;250-ml;10;10;volume;ml
size;siz_6f7a68311a;25×18 см;25-18-sm;1;1;dimensions;cm
size;siz_2f42bfe345;26 см;26-sm;1;1;single_dimension;cm
size;siz_33debb8449;260 мл;260-ml;1;1;volume;ml
size;siz_bee8c2d6bf;27 см;27-sm;4;4;single_dimension;cm
size;siz_47bf677487;280 см;280-sm;1;1;single_dimension;cm
size;siz_4c1c44280c;30 мл;30-ml;1;1;volume;ml
size;siz_02a8197405;30 см;30-sm;4;6;single_dimension;cm
size;siz_1da3d27caf;300 мл;300-ml;4;4;volume;ml
size;siz_409c10d9a6;32 см;32-sm;2;2;single_dimension;cm
size;siz_7646237670;350 мл;350-ml;5;5;volume;ml
size;siz_3d2c0be121;36 см;36-sm;2;3;single_dimension;cm
