product_id;variant_ids;color_ids;size_ids;material_ids;aroma_ids;collection_ids;capsule_ids;category_id;subcategory_id;min_price_rub;max_price_rub
KD-PD-00474;KD-PD-00474__v001;clr_2818a16c64;siz_4863737db2;mat_2ca5cf94f3;;col_f4cc42144b;;cat_c26358d6ce;sub_e0dae1999b;5599;5599
KD-PD-00574;KD-PD-00574__v001;clr_2818a16c64;siz_66438ea56f;mat_2ca5cf94f3;;col_f4cc42144b;;cat_c26358d6ce;sub_e0dae1999b;6599;6599
KD-PD-00575;KD-PD-00575__v001;clr_2818a16c64;siz_7646237670;mat_2ca5cf94f3;;col_f4cc42144b;;cat_c26358d6ce;sub_506b04c158;7599;7599
KD-PD-00576;KD-PD-00576__v001;clr_2818a16c64;siz_3e53916ec5;mat_2ca5cf94f3;;col_f4cc42144b;;cat_c26358d6ce;sub_506b04c158;7599;7599
KD-PD-11574;KD-PD-11574__v001;clr_2818a16c64;siz_6c0bc92bb9;mat_2ca5cf94f3;;col_f4cc42144b;;cat_c26358d6ce;sub_96524f0b0f;6599;6599
KD-PD-11616;KD-PD-11616__v001;clr_2818a16c64;siz_445e9902eb;mat_84ce26e46a;;col_f4cc42144b;;cat_c26358d6ce;sub_9161b9503e;3599;3599
KD-PD-1023;KD-PD-1023__v001|KD-PD-1023__v002|KD-PD-1023__v003;clr_2818a16c64|clr_398bc3d0f7|clr_89001f99bc;siz_ecbdfa3a54;mat_84ce26e46a;;;cap_235a4f2c57;cat_a0b0e47bba;sub_a86f8f51fb;5990;5990
KD-PD-1026;KD-PD-1026__v001|KD-PD-1026__v002|KD-PD-1026__v003;clr_2818a16c64|clr_398bc3d0f7|clr_89001f99bc;siz_8b267a4c84;mat_84ce26e46a;;;cap_235a4f2c57;cat_a0b0e47bba;sub_39802e3471;12990;12990
KD-PD-1027;KD-PD-1027__v001|KD-PD-1027__v002|KD-PD-1027__v003|KD-PD-1027__v004;clr_3afdfac7c7|clr_89001f99bc;siz_d39de78aa3|siz_fc83c1a9eb;mat_9a7e557bb3;;col_56ec8dad2a;;cat_a0b0e47bba;sub_9d8f8a7b48;8690;8690
KD-PD-1030;KD-PD-1030__v001;clr_7e1922e6be;siz_6c0bc92bb9;mat_2ca5cf94f3;;col_235a4f2c57;cap_235a4f2c57;cat_c26358d6ce;sub_96524f0b0f;6990;6990
KD-PD-1024;KD-PD-1024__v001|KD-PD-1024__v002|KD-PD-1024__v003;clr_7e1922e6be;siz_2f0c3b16c6|siz_d39de78aa3|siz_fc83c1a9eb;mat_1afde5d89a;;col_235a4f2c57;cap_235a4f2c57;cat_309738921d;sub_309738921d;15990;20990
KD-PD-1025;KD-PD-1025__v001;clr_7e1922e6be;siz_66438ea56f;mat_2ca5cf94f3;;col_235a4f2c57;cap_235a4f2c57;cat_c26358d6ce;sub_e0dae1999b;5990;5990
KD-PD-1028;KD-PD-1028__v001|KD-PD-1028__v002|KD-PD-1028__v003|KD-PD-1028__v004|KD-PD-1028__v005|KD-PD-1028__v006|KD-PD-1028__v007|KD-PD-1028__v008|KD-PD-1028__v009;clr_2818a16c64|clr_417dc1f5c1|clr_7e1922e6be;siz_2f0c3b16c6|siz_d39de78aa3|siz_fc83c1a9eb;mat_1afde5d89a;;;;cat_309738921d;sub_309738921d;4990;6990
KD-PD-1128;KD-PD-1128__v001|KD-PD-1128__v002|KD-PD-1128__v003;clr_2818a16c64|clr_417dc1f5c1|clr_7e1922e6be;siz_ecbdfa3a54;mat_1afde5d89a;;;;cat_309738921d;sub_309738921d;4990;4990
KD-PD-2519;KD-PD-2519__v001|KD-PD-2519__v002;clr_2818a16c64|clr_b988d894d3;siz_24d7b4453f;;aro_7e2909c610|aro_df65c1cffb;col_0495d7f773;cap_0495d7f773;cat_06e60bd4fa;sub_96372e8877;4990;4990
KD-PD-11417;KD-PD-11417__v001;clr_2818a16c64;siz_02a8197405;mat_2ca5cf94f3;;col_02264c193e;;cat_c26358d6ce;sub_e0dae1999b;1794;1794
KD-PD-11415;KD-PD-11415__v001;clr_2818a16c64;siz_4863737db2;mat_2ca5cf94f3;;col_02264c193e;;cat_c26358d6ce;sub_e0dae1999b;894;894
KD-PD-11416;KD-PD-11416__v001;clr_2818a16c64;siz_89b0e8f00b;mat_2ca5cf94f3;;col_02264c193e;;cat_c26358d6ce;sub_e0dae1999b;1314;1314
KD-PD-11514;KD-PD-11514__v001;clr_2818a16c64;siz_7646237670;mat_2ca5cf94f3;;col_02264c193e;;cat_c26358d6ce;sub_96524f0b0f;1194;1194
KD-PD-11428;KD-PD-11428__v001;clr_2818a16c64;siz_fedf66bb17;mat_2ca5cf94f3;;col_02264c193e;;cat_c26358d6ce;sub_afbde0ee64;2394;2394
KD-PD-11430;KD-PD-11430__v001;clr_2818a16c64;siz_52f22adf9e;mat_2ca5cf94f3;;col_02264c193e;;cat_c26358d6ce;sub_afbde0ee64;954;954
KD-PD-11420;KD-PD-11420__v001;clr_2818a16c64;siz_d912785d7f;mat_2ca5cf94f3;;col_02264c193e;;cat_c26358d6ce;sub_506b04c158;1794;1794
KD-PD-11438;KD-PD-11438__v001|KD-PD-11438__v002;clr_2818a16c64;siz_03210f0271|siz_fedf66bb17;mat_2ca5cf94f3|mat_78141744da;;col_dfe46751a4;;cat_c26358d6ce;sub_afbde0ee64;5593;6593
KD-PD-11438A;KD-PD-11438A__v001;clr_2818a16c64;siz_6c0bc92bb9;mat_78141744da;;col_dfe46751a4;;cat_c26358d6ce;sub_96524f0b0f;2233;2233
KD-PD-114381;KD-PD-114381__v001;clr_2818a16c64;siz_7646237670;mat_78141744da;;col_dfe46751a4;;cat_c26358d6ce;sub_506b04c158;3353;3353
KD-PD-114382;KD-PD-114382__v001;clr_2818a16c64;siz_f666e724c3;mat_78141744da;;col_dfe46751a4;;cat_c26358d6ce;sub_e0dae1999b;2233;2233
KD-PD-114383;KD-PD-114383__v001;clr_2818a16c64;siz_89b0e8f00b;mat_78141744da;;col_dfe46751a4;;cat_c26358d6ce;sub_e0dae1999b;2793;2793
KD-PD-114384;KD-PD-114384__v001;clr_2818a16c64;siz_ca6b1b687c;mat_78141744da;;col_dfe46751a4;;cat_c26358d6ce;sub_e0dae1999b;1673;1673
KD-PD-114385;KD-PD-114385__v001;clr_2818a16c64;siz_92d00adbcb;mat_2ca5cf94f3;;col_dfe46751a4;;cat_c26358d6ce;sub_506b04c158;7273;7273
KD-PD-10288;KD-PD-10288__v001|KD-PD-10288__v002;clr_2818a16c64;siz_b3c8463150|siz_ca6b1b687c;mat_2ca5cf94f3;;;;cat_06e60bd4fa;sub_670975bdc1;14900;16900
KD-PD-11020;KD-PD-11020__v001|KD-PD-11020__v002;clr_398bc3d0f7|clr_db1adb0a92;siz_3d2c0be121;mat_e08aad5924;;;;cat_06e60bd4fa;sub_670975bdc1;24900;24900
KD-PD-10414;KD-PD-10414__v001;clr_2818a16c64;siz_0df7e680c6;mat_65b3266963;;col_d2a2455e4e;;cat_9161b9503e;sub_9161b9503e;14900;14900
KD-PD-10932;KD-PD-10932__v001;clr_2818a16c64;siz_c5de05dd2a;mat_2ca5cf94f3;;col_d2a2455e4e;;cat_c26358d6ce;sub_96524f0b0f;2990;2990
KD-PD-10587;KD-PD-10587__v001;clr_2818a16c64;siz_9cc6425ff0;mat_84ce26e46a;;col_d2a2455e4e;;cat_9161b9503e;sub_9161b9503e;1590;1590
KD-PD-10567;KD-PD-10567__v001;clr_2818a16c64;siz_445e9902eb;mat_84ce26e46a;;col_d2a2455e4e;;cat_9161b9503e;sub_9161b9503e;1990;1990
KD-PD-10450;KD-PD-10450__v001|KD-PD-10450__v002;clr_2818a16c64;siz_a394ecc680|siz_e7edbe079b;mat_84ce26e46a;;col_d2a2455e4e;;cat_9161b9503e;sub_9161b9503e;19900;20900
KD-PD-10400;KD-PD-10400__v001;clr_8717c2ffa9;siz_4863737db2;mat_2ca5cf94f3;;col_d2a2455e4e;;cat_c26358d6ce;sub_e0dae1999b;2990;2990
KD-PD-10930;KD-PD-10930__v001;clr_8717c2ffa9;siz_6c0bc92bb9;mat_2ca5cf94f3;;col_d2a2455e4e;;cat_c26358d6ce;sub_96524f0b0f;4590;4590
KD-PD-8985;KD-PD-8985__v001|KD-PD-8985__v002;clr_2818a16c64;siz_b5e9a22963|siz_e7edbe079b;mat_84ce26e46a;;col_1b2574531b;;cat_9161b9503e;sub_9161b9503e;9900;9900
KD-PD-8982;KD-PD-8982__v001|KD-PD-8982__v002|KD-PD-8982__v003|KD-PD-8982__v004;clr_2372492028|clr_2818a16c64;siz_2433ce5e05|siz_445e9902eb;mat_84ce26e46a;;col_1b2574531b;;cat_9161b9503e;sub_9161b9503e;990;990
KD-PD-11033;KD-PD-11033__v001;clr_7ca5cf6f56;siz_42df2bf66b;;;col_d2a2455e4e;;cat_a0b0e47bba;sub_a86f8f51fb;5990;5990
KD-PD-11034;KD-PD-11034__v001;clr_7ca5cf6f56;siz_42df2bf66b;;;col_d2a2455e4e;;cat_a0b0e47bba;sub_a86f8f51fb;5990;5990
