image_id;variant_id;product_id;sort_order;path
KD-PD-00474__v001__img1;KD-PD-00474__v001;KD-PD-00474;1;/assets/images/KD-PD-00474.png
KD-PD-00574__v001__img1;KD-PD-00574__v001;KD-PD-00574;1;/assets/images/KD-PD-00574.png
KD-PD-00575__v001__img1;KD-PD-00575__v001;KD-PD-00575;1;/assets/images/KD-PD-00575.png
KD-PD-00576__v001__img1;KD-PD-00576__v001;KD-PD-00576;1;/assets/images/KD-PD-00576.png
KD-PD-11574__v001__img1;KD-PD-11574__v001;KD-PD-11574;1;/assets/images/KD-PD-11574.png
KD-PD-11616__v001__img1;KD-PD-11616__v001;KD-PD-11616;1;/assets/images/KD-PD-11616.png
KD-PD-1023__v001__img1;KD-PD-1023__v001;KD-PD-1023;1;/assets/images/KD-PD-1023-BLUE02.png
KD-PD-1023__v002__img1;KD-PD-1023__v002;KD-PD-1023;1;/assets/images/KD-PD-1023-WHITE02.png
KD-PD-1023__v003__img1;KD-PD-1023__v003;KD-PD-1023;1;/assets/images/KD-PD-1023-BEIGE02.png
KD-PD-1026__v001__img1;KD-PD-1026__v001;KD-PD-1026;1;/assets/images/KD-PD-1026-BLUE02.png
KD-PD-1026__v002__img1;KD-PD-1026__v002;KD-PD-1026;1;/assets/images/KD-PD-1026-WHITE02.png
KD-PD-1026__v003__img1;KD-PD-1026__v003;KD-PD-1026;1;/assets/images/KD-PD-1026-BEIGE02.png
KD-PD-1027__v001__img1;KD-PD-1027__v001;KD-PD-1027;1;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png
KD-PD-1027__v002__img1;KD-PD-1027__v002;KD-PD-1027;1;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png
KD-PD-1027__v003__img1;KD-PD-1027__v003;KD-PD-1027;1;/assets/images/KD-PD-1027СЕРОСИНИЙ.png
KD-PD-1027__v004__img1;KD-PD-1027__v004;KD-PD-1027;1;/assets/images/KD-PD-1027СЕРОСИНИЙ.png
KD-PD-1030__v001__img1;KD-PD-1030__v001;KD-PD-1030;1;/assets/images/time-tea-pair.png
KD-PD-1024__v001__img1;KD-PD-1024__v001;KD-PD-1024;1;/assets/images/KD-PD-1024-DARK01.png
KD-PD-1024__v001__img2;KD-PD-1024__v001;KD-PD-1024;2;/assets/images/KD-PD-1024-DARK02.png
KD-PD-1024__v002__img1;KD-PD-1024__v002;KD-PD-1024;1;/assets/images/KD-PD-1024-DARK01.png
KD-PD-1024__v002__img2;KD-PD-1024__v002;KD-PD-1024;2;/assets/images/KD-PD-1024-DARK02.png
KD-PD-1024__v003__img1;KD-PD-1024__v003;KD-PD-1024;1;/assets/images/KD-PD-1024-DARK01.png
KD-PD-1024__v003__img2;KD-PD-1024__v003;KD-PD-1024;2;/assets/images/KD-PD-1024-DARK02.png
KD-PD-1025__v001__img1;KD-PD-1025__v001;KD-PD-1025;1;/assets/images/moon-plate.png
KD-PD-1028__v001__img1;KD-PD-1028__v001;KD-PD-1028;1;/assets/images/KD-PD-1028-WHITE01.png
KD-PD-1028__v001__img2;KD-PD-1028__v001;KD-PD-1028;2;/assets/images/KD-PD-1028-WHITE03.png
KD-PD-1028__v002__img1;KD-PD-1028__v002;KD-PD-1028;1;/assets/images/KD-PD-1028-WHITE01.png
KD-PD-1028__v002__img2;KD-PD-1028__v002;KD-PD-1028;2;/assets/images/KD-PD-1028-WHITE03.png
KD-PD-1028__v003__img1;KD-PD-1028__v003;KD-PD-1028;1;/assets/images/KD-PD-1028-WHITE01.png
KD-PD-1028__v003__img2;KD-PD-1028__v003;KD-PD-1028;2;/assets/images/KD-PD-1028-WHITE03.png
KD-PD-1028__v004__img1;KD-PD-1028__v004;KD-PD-1028;1;/assets/images/KD-PD-1028-DARK01.png
KD-PD-1028__v004__img2;KD-PD-1028__v004;KD-PD-1028;2;/assets/images/KD-PD-1028-DARK02.png
KD-PD-1028__v005__img1;KD-PD-1028__v005;KD-PD-1028;1;/assets/images/KD-PD-1028-DARK01.png
KD-PD-1028__v005__img2;KD-PD-1028__v005;KD-PD-1028;2;/assets/images/KD-PD-1028-DARK02.png
KD-PD-1028__v006__img1;KD-PD-1028__v006;KD-PD-1028;1;/assets/images/KD-PD-1028-DARK01.png
KD-PD-1028__v006__img2;KD-PD-1028__v006;KD-PD-1028;2;/assets/images/KD-PD-1028-DARK02.png
KD-PD-1028__v007__img1;KD-PD-1028__v007;KD-PD-1028;1;/assets/images/peach-sheet.jpg
KD-PD-1028__v007__img2;KD-PD-1028__v007;KD-PD-1028;2;/assets/images/KD-PD-1028-PUDRA02.png
KD-PD-1028__v008__img1;KD-PD-1028__v008;KD-PD-1028;1;/assets/images/KD-PD-1028-WHITE01.png
KD-PD-1028__v008__img2;KD-PD-1028__v008;KD-PD-1028;2;/assets/images/KD-PD-1028-WHITE03.png
KD-PD-1028__v009__img1;KD-PD-1028__v009;KD-PD-1028;1;/assets/images/KD-PD-1028-WHITE01.png
KD-PD-1028__v009__img2;KD-PD-1028__v009;KD-PD-1028;2;/assets/images/KD-PD-1028-WHITE03.png
KD-PD-1128__v001__img1;KD-PD-1128__v001;KD-PD-1128;1;/assets/images/KD-PD-1128-WHITE01.png
KD-PD-1128__v001__img2;KD-PD-1128__v001;KD-PD-1128;2;/assets/images/KD-PD-1128-WHITE02.png
KD-PD-1128__v002__img1;KD-PD-1128__v002;KD-PD-1128;1;/assets/images/KD-PD-1128-DARK01.png
KD-PD-1128__v002__img2;KD-PD-1128__v002;KD-PD-1128;2;/assets/images/KD-PD-1128-DARK01.png
KD-PD-1128__v003__img1;KD-PD-1128__v003;KD-PD-1128;1;/assets/images/KD-PD-1128-PUDRA01.png
KD-PD-1128__v003__img2;KD-PD-1128__v003;KD-PD-1128;2;/assets/images/KD-PD-1128-PUDRA03.png
KD-PD-2519__v001__img1;KD-PD-2519__v001;KD-PD-2519;1;/assets/images/KD-PD-2519.png
KD-PD-2519__v002__img1;KD-PD-2519__v002;KD-PD-2519;1;/assets/images/KD-PD-2519.png
KD-PD-11417__v001__img1;KD-PD-11417__v001;KD-PD-11417;1;/assets/images/69cfd1dbd8788_big.jpg
KD-PD-11415__v001__img1;KD-PD-11415__v001;KD-PD-11415;1;/assets/images/69a59fe31bc63_big.jpg
KD-PD-11416__v001__img1;KD-PD-11416__v001;KD-PD-11416;1;/assets/images/69a59ff7219ee_big.jpg
KD-PD-11514__v001__img1;KD-PD-11514__v001;KD-PD-11514;1;/assets/images/6a85be4b7c47d_big.jpg
KD-PD-11428__v001__img1;KD-PD-11428__v001;KD-PD-11428;1;/assets/images/6a85bf69a9fab_big.jpg
KD-PD-11430__v001__img1;KD-PD-11430__v001;KD-PD-11430;1;/assets/images/6a85b5ce5156c_big.jpg
KD-PD-11420__v001__img1;KD-PD-11420__v001;KD-PD-11420;1;/assets/images/6a85b4e761a4c_big.jpg
KD-PD-11438__v001__img1;KD-PD-11438__v001;KD-PD-11438;1;/assets/images/6a85bf6840c27_big.jpg
KD-PD-11438__v002__img1;KD-PD-11438__v002;KD-PD-11438;1;/assets/images/6a85bf6840c27_big.jpg
KD-PD-11438A__v001__img1;KD-PD-11438A__v001;KD-PD-11438A;1;/assets/images/6a85bf55372ef_big.jpg
KD-PD-114381__v001__img1;KD-PD-114381__v001;KD-PD-114381;1;/assets/images/6a85b7d65b6f3_big.jpg
KD-PD-114382__v001__img1;KD-PD-114382__v001;KD-PD-114382;1;/assets/images/6a85bab0339ea_big.jpg
KD-PD-114383__v001__img1;KD-PD-114383__v001;KD-PD-114383;1;/assets/images/6a06d76222d16_big.jpg
KD-PD-114384__v001__img1;KD-PD-114384__v001;KD-PD-114384;1;/assets/images/6a85ba923b6ef_big.jpg
KD-PD-114385__v001__img1;KD-PD-114385__v001;KD-PD-114385;1;/assets/images/6a85b6e1b4b86_big.jpg
KD-PD-10288__v001__img1;KD-PD-10288__v001;KD-PD-10288;1;/assets/images/6a0d5b3b35c53_big.jpg
KD-PD-10288__v001__img2;KD-PD-10288__v001;KD-PD-10288;2;/assets/images/68ecbba698a58_big.jpg
KD-PD-10288__v002__img1;KD-PD-10288__v002;KD-PD-10288;1;/assets/images/6a0d5b3b35c53_big.jpg
KD-PD-10288__v002__img2;KD-PD-10288__v002;KD-PD-10288;2;/assets/images/68ecbba698a58_big.jpg
KD-PD-11020__v001__img1;KD-PD-11020__v001;KD-PD-11020;1;/assets/images/6a0d5b4123311_big.jpg
KD-PD-11020__v002__img1;KD-PD-11020__v002;KD-PD-11020;1;/assets/images/6a0d5b3d445c5_big.jpg
KD-PD-10414__v001__img1;KD-PD-10414__v001;KD-PD-10414;1;/assets/images/6a84708e939ec_big.jpg
KD-PD-10932__v001__img1;KD-PD-10932__v001;KD-PD-10932;1;/assets/images/69441f32012f2_big.jpg
KD-PD-10587__v001__img1;KD-PD-10587__v001;KD-PD-10587;1;/assets/images/6a84709a367e8_big.jpg
KD-PD-10567__v001__img1;KD-PD-10567__v001;KD-PD-10567;1;/assets/images/6a8470a8f0e87_big.jpg
KD-PD-10450__v001__img1;KD-PD-10450__v001;KD-PD-10450;1;/assets/images/6a8471f1dc0ec_big.jpg
