group_id;normalized_key;group_label;slug;swatch_hex;sort_order;product_count_sum;variant_count_sum
cgrp_398bc3d0f7;синий;Синий;cgrp_398bc3d0f7;#35546F;1;13;20
cgrp_a39ee8788e;голубой;Голубой;cgrp_a39ee8788e;#AFC9D7;2;20;24
cgrp_2818a16c64;белый;Белый;cgrp_2818a16c64;#F5F3EE;3;109;132
cgrp_7ca5cf6f56;бежевый;Бежевый;cgrp_7ca5cf6f56;#D7C3A5;4;8;8
cgrp_df6d4fc5b2;коричневый;Коричневый;cgrp_df6d4fc5b2;#6F4E37;5;12;14
cgrp_d74fedd1fa;черный;Черный;cgrp_d74fedd1fa;#1E1E1E;6;7;7
cgrp_417dc1f5c1;пудровый;Пудровый;cgrp_417dc1f5c1;#D8B7AE;7;3;7
cgrp_2372492028;зеленый;Зеленый;cgrp_2372492028;#72816B;8;2;3
cgrp_8717c2ffa9;красный;Красный;cgrp_8717c2ffa9;#9A443B;9;2;2
cgrp_db1adb0a92;желтый;Желтый;cgrp_db1adb0a92;#D2B65C;10;1;1
cgrp_b988d894d3;золотой;Золотой;cgrp_b988d894d3;#C3A05B;11;7;9
cgrp_812476ce58;серебряный;Серебряный;cgrp_812476ce58;#B7B9B8;12;2;2
cgrp_6e3a178629;прозрачный;Прозрачный;cgrp_6e3a178629;#F4F4F2;13;1;1
