Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение
,KD-PD-8985,Скатерть Весна,белый,180x350 см,https://kssafonova.github.io/kd/images/imported-products/6a5756073f700_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68ef6af8d5df1_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68b040117f548_big.jpg,180 см,350 см,,,,сатин,100% сатин,,Весна,,Столовый текстиль,Столовый текстиль,,Зеленый салон
44,KD-PD-8982,Плейсмат Весна,Зеленый,45х45 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a84702c37bb4_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193c7b4a5_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193d7b5ef_big.jpg,45 см,65 см,,,,сатин,100% сатин,,Весна,,Столовый текстиль,Плейсматы,,Зеленый салон
,KD-PD-8982,Плейсмат Весна,белый,45х65 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193eec4fd_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193c7b4a5_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193d7b5ef_big.jpg,45 см,65 см,,,,сатин,100% сатин,,Весна,,Столовый текстиль,Плейсматы,,Зеленый салон
,KD-PD-8982,Плейсмат Весна,Белый,45х45 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a84701c28299_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193c7b4a5_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193d7b5ef_big.jpg,45 см,65 см,,,,сатин,100% сатин,,Весна,,Столовый текстиль,Плейсматы,,Зеленый салон
,KD-PD-8982,Плейсмат Весна,белый,45х65 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193eec4fd_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193c7b4a5_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2193d7b5ef_big.jpg,45 см,65 см,,,,сатин,100% сатин,,Весна,,Столовый текстиль,Плейсматы,,Зеленый салон
443,KD-PD-11616,Плейсмат Алая нить,белый,40х40 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a8319ebd8c65_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/698f3c1dcbbc9_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/698f3c1d796cb_big.jpg,40 см,40 см,,,,сатин,100% сатин,,Алая нить,,Столовый текстиль,Плейсматы,,Красные линии
444,KD-PD-11574,Чайная пара Алая нить,белый,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b18bc094_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/698f3be9a9db0_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b1916dc9_big.jpg,,,320 мл,,"Кружка 1 шт, блюдце 1 шт",фарфор,100% фарфор,,Алая нить,,Посуда и сервировка,"Кружки, чайные и кофейные пары",,Красные линии
603,KD-PD-11033,Подушка декоративная Алатырь,бежевый,40х40 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69e233fdc6992_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6970ef63e0880_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6970ef64b64eb_big.jpg,40 см,40 см,,,,,,,Мокоши,,Пледы и подушки,Декоративные подушки,Красные линии,
604,KD-PD-11034,Подушка декоративная Мокоши,бежевый,40х40 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69e234045d0a5_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6970efe62285b_big.jpg,,40 см,40 см,,,,,,,Мокоши,,Пледы и подушки,Декоративные подушки,Красные линии,
653,KD-PD-10841,Плед Пушица,экрю,150х200 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69e0fef714064_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/691b2e78edf93_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f5f4de1c8_big.jpg,,,,,,,,,Оренбургские узоры,,Пледы и подушки,Плед,,Зимняя сказка
650,KD-PD-10841,Плед Пушица,бежевый,150х200 см,https://kultura-doma.ru/public/src/images/gallery/catalog/690caa6e3be4a_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69e0fb2e06f8b_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f5f6906e2_big.jpg,,,,,,,,,Оренбургские узоры,,Пледы и подушки,Плед,Красные линии,Зимняя сказка
651,KD-PD-10841,Плед Пушица,голубой,150х200 см,https://kultura-doma.ru/public/src/images/gallery/catalog/690ca7e8a1da2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/691b2da8124c1_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f5f86c928_big.jpg,,,,,,,,,Оренбургские узоры,,Пледы и подушки,Плед,Красные линии,Зимняя сказка
652,KD-PD-10841,Плед Пушица,розовый,150х200 см,https://kultura-doma.ru/public/src/images/gallery/catalog/690c4a39b0066_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69e0faf756f78_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a33f5f14a97d_big.jpg,,,,,,,,,Оренбургские узоры,,Пледы и подушки,Плед,Красные линии,Зимняя сказка
