Сценарий,Пространство,Повод,Роль,Тип,offer_id,Название товара,Цена,Материал,Цвет,URL,Примечание
Утро в зимнем саду,Стол,Повседневный/Праздничный,Главный акцент (Чаепитие),Основной,1557,Кофейная пара Камея,1673,костяной фарфор,белый,https://kultura-doma.ru/product/kofeynaya-para-kameya,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Главный акцент (Чаепитие),Альтернатива,1556,Чайная пара Камея,2233,костяной фарфор,белый,https://kultura-doma.ru/product/chaynaya-para-kameya,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Поддерживающая база (Чайник),Основной,1567,Чайник заварочный Камея,5593,костяной фарфор,белый,https://kultura-doma.ru/product/chaynik-zavarochnyy-kameya,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Поддерживающая база (Блюдо),Альтернатива,1552,Блюдо овальное Камея,2233,костяной фарфор,белый,https://kultura-doma.ru/product/blyudo-oval-noe-kameya,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Текстиль,Основной,1422,Скатерть с вышивкой Обереги,22900,сатин,белый,https://kultura-doma.ru/product/skatert-s-vyshivkoy-oberegi-pryamougol-naya,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Текстиль,Альтернатива,1520,Плейсмат Дияф,1554,сатин,белый,https://kultura-doma.ru/product/pleysmat-diyaf,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Текстиль,Альтернатива,1527,Набор Плейсматов с вышивкой Признание,2394,сатин,белый,https://kultura-doma.ru/product/nabor-pleysmatov-s-vyshivkoy-priznanie,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Декор (Ваза),Основной,524,Ваза Росы,20100,хрусталь,,https://kultura-doma.ru/product/vaza-rosy-524,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Декор (Ваза),Альтернатива,525,Ваза Росы,22400,хрусталь,,https://kultura-doma.ru/product/vaza-rosy-525,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Декор (Ваза),Альтернатива,1210,Ваза Росы,31200,хрусталь,,https://kultura-doma.ru/product/vaza-rosy,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Приборы,Основной,321,Набор столовых приборов Александр,32900,нержавеющая сталь 18/10,серебряный,https://kultura-doma.ru/product/nabor-stolovyh-priborov-aleksandr,
Утро в зимнем саду,Стол,Повседневный/Праздничный,Приборы,Альтернатива,322,Набор столовых приборов Петр,20900,нержавеющая сталь 18/10,серебряный,https://kultura-doma.ru/product/nabor-stolovyh-priborov-petr,
Дыхание земли,Стол/Гостиная,Повседневный обед,Главный акцент (Посуда),Основной,1396,Тарелка глубокая Юрма,1992,керамика,коричневый,https://kultura-doma.ru/product/tarelka-yurma-glubokaya-16sm,
Дыхание земли,Стол/Гостиная,Повседневный обед,Главный акцент (Посуда),Альтернатива,1349,Тарелка закусочная Юрма,1912,керамика,коричневый,https://kultura-doma.ru/product/tarelka-zakusochnaya-yurma,
Дыхание земли,Стол/Гостиная,Повседневный обед,Главный акцент (Посуда),Альтернатива,1399,Тарелка ассиметричная Юрма,1832,керамика,коричневый,https://kultura-doma.ru/product/tarelka-yurma-assimetrichnaya-18sm,
Дыхание земли,Стол/Гостиная,Повседневный обед,Поддерживающая посуда,Основной,1394,Салатник Юрма,1992,керамика,коричневый,https://kultura-doma.ru/product/salatnik-yurma-14-5-sm,
Дыхание земли,Стол/Гостиная,Повседневный обед,Поддерживающая посуда,Альтернатива,1401,Кружка Юрма,1752,керамика,коричневый,https://kultura-doma.ru/product/kruzhka-yurma-430ml,
Дыхание земли,Стол/Гостиная,Повседневный обед,Поддерживающая посуда,Альтернатива,1404,Стакан Юрма,1192,керамика,,https://kultura-doma.ru/product/stakan-yurma-150ml,
Дыхание земли,Стол/Гостиная,Повседневный обед,Текстиль/Кожа (Плейсмат),Основной,556,Плейсмат Текстура,4280,натуральная кожа,черный,https://kultura-doma.ru/product/pleysmat-tekstura-556,
Дыхание земли,Стол/Гостиная,Повседневный обед,Текстиль/Кожа,Альтернатива,371,Корзина Текстура,15960,натуральная кожа,черный,https://kultura-doma.ru/product/korzina-tekstura-371,
Дыхание земли,Стол/Гостиная,Повседневный обед,Декор/Хранение,Основной,286,Хлебница Текстура,5000,натуральная кожа,коричневый,https://kultura-doma.ru/product/hlebnica-tekstura,
Дыхание земли,Стол/Гостиная,Повседневный обед,Декор/Хранение,Альтернатива,605,Набор для ванной Текстура,18360,натуральная кожа,коричневый,https://kultura-doma.ru/product/nabor-dlya-vannoy-tekstura-605,
Сны о русском севере,Спальня,Отдых,Текстиль (Постельное белье),Основной,1690,Комплект постельного белья Ледяной узор,14630,тенсель,голубой,https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-ledyanoy-uzor,"На сайте цена варьируется по размеру (20900–31900 ₽ на момент проверки) — цена в таблице ChatGPT отличается, проверить перед публикацией"
Сны о русском севере,Спальня,Отдых,Текстиль (Постельное белье),Альтернатива,1691,Комплект постельного белья Белый жасмин,12530,сатин,серый,https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-belyy-zhasmin,
Сны о русском севере,Спальня,Отдых,Текстиль (Постельное белье),Альтернатива,1675,Комплект постельного белья Морской бриз,16030,сатин,белый,https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-morskoy-briz,
Сны о русском севере,Спальня,Отдых,Текстиль (Плед),Основной,1291,Плед Пушица,29900,,голубой,https://kultura-doma.ru/product/pled-pushica-1291,
Сны о русском севере,Спальня,Отдых,Текстиль (Плед),Альтернатива,1290,Плед Пушица,29900,,бежевый,https://kultura-doma.ru/product/pled-pushica-1290,
Сны о русском севере,Спальня,Отдых,Декор (Подушка),Основной,1293,Подушка декоративная Пушица,9900,,экрю,https://kultura-doma.ru/product/podushka-dekorativnaya-pushica,
Сны о русском севере,Спальня,Отдых,Декор (Подушка),Альтернатива,1437,Подушка декоративная Алатырь,5990,,бежевый,https://kultura-doma.ru/product/podushka-dekorativnaya-alatyr,
Сны о русском севере,Спальня,Отдых,Декор (Ваза),Основной,1624,Ваза Фуджи,12900,стекло,белый,https://kultura-doma.ru/product/vaza-fudzhi-1624,
Сны о русском севере,Спальня,Отдых,Декор (Ваза),Альтернатива,1625,Ваза Фуджи,5990,стекло,белый,https://kultura-doma.ru/product/vaza-fudzhi-1625,
Сны о русском севере,Спальня,Отдых,Хранение,Альтернатива,1116,Корзина Уют,3900,хлопковый шнур,бежевый,https://kultura-doma.ru/product/korzina-uyut-1116,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,Главный акцент (Тарелка),Основной,331,Тарелка Сказочный лес,11040,костяной фарфор,белый,https://kultura-doma.ru/product/tarelka-skazochnyy-les-331,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,Акцент (Чашка),Основной,1237,Чайная пара Многоцвет,3590,фарфор,белый,https://kultura-doma.ru/product/chaynaya-para-mnogocvet,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,Акцент (Чашка),Альтернатива,1335,Чайная пара Краса ненаглядная,5490,фарфор,белый,https://kultura-doma.ru/product/chaynaya-para-koni-1335,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,Акцент (Чашка),Альтернатива,1428,Чайная пара Обереги,2394,фарфор,белый,https://kultura-doma.ru/product/chaynaya-para-oberegi,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,База (Салфетка),Основной,1351,Салфетка Обереги,1990,сатин,белый,https://kultura-doma.ru/product/salfetka-oberegi,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,База (Салфетка),Альтернатива,1422,Скатерть с вышивкой Обереги,22900,сатин,белый,https://kultura-doma.ru/product/skatert-s-vyshivkoy-oberegi-pryamougol-naya,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,Декор (Ваза),Основной,1256,Ваза Айсберг,14900,фарфор,белый,https://kultura-doma.ru/product/vaza-aysberg,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,Декор (Статуэтка),Альтернатива,1410,Статуэтка фарфоровая Конь белый,65000,фарфор,белый,https://kultura-doma.ru/product/skul-ptura-kon,
Сказочное чаепитие,Стол/Гостиная,Праздник/Подарок,Декор (Тарелка для яиц),Альтернатива,279,Тарелка для яиц Классика,4990,фарфор,белый,https://kultura-doma.ru/product/tarelka-dlya-yaic-klassika,
Ботанический сад,Стол,Завтрак,Главный акцент (Чайник),Основной,1118,Чайник заварочный Ботаника,3190,фарфор,белый,https://kultura-doma.ru/product/chaynik-zavarochnyy-botanika,
Ботанический сад,Стол,Завтрак,Акцент (Сахарница),Альтернатива,1119,Сахарница Ботаника,2090,фарфор,белый,https://kultura-doma.ru/product/saharnica-botanika,
Ботанический сад,Стол,Завтрак,Акцент (Блюдо),Альтернатива,1117,Блюдо овальное Ботаника,5990,фарфор,белый,https://kultura-doma.ru/product/blyudo-botanika,
Ботанический сад,Стол,Завтрак,Посуда (Тарелка),Основной,1125,Тарелка десертная Ботаника,2190,фарфор,белый,https://kultura-doma.ru/product/tarelka-desertnaya-botanika,
Ботанический сад,Стол,Завтрак,Посуда (Салатник),Альтернатива,1123,Салатник порционный Ботаника,2490,фарфор,белый,https://kultura-doma.ru/product/salatnik-porcionnyy-botanika,
Ботанический сад,Стол,Завтрак,Текстиль,Основной,1353,Плейсмат Обереги,2590,сатин,белый,https://kultura-doma.ru/product/pleysmat-oberegi,
Ботанический сад,Стол,Завтрак,Текстиль,Альтернатива,1519,Салфетка Дияф,1194,сатин,белый,https://kultura-doma.ru/product/salfetka-diyaf,
Ботанический сад,Стол,Завтрак,Текстиль,Альтернатива,1524,Салфетки Нежность,1194,сатин,белый,https://kultura-doma.ru/product/salfetki-s-vyshivkoy-nezhnost,
Ботанический сад,Стол,Завтрак,Декор (Ваза),Основной,736,Ваза Росы,17900,хрусталь,,https://kultura-doma.ru/product/vaza-rosy-736,
Ботанический сад,Стол,Завтрак,Декор (Ваза),Альтернатива,486,Ваза Росы,20100,хрусталь,,https://kultura-doma.ru/product/vaza-rosy-486,
Ботанический сад,Стол,Завтрак,Декор (Ваза),Альтернатива,1251,Ваза Хрустальный дворец,17900,хрусталь,,https://kultura-doma.ru/product/vaza-hrustal-nyy-dvorec,
Кабинетное ретро,Стол,Работа,Главный акцент (Посуда),Основной,1348,Тарелка обеденная Юрма,2392,керамика,коричневый,https://kultura-doma.ru/product/tarelka-obedennaya-yurma,
Кабинетное ретро,Стол,Работа,Посуда,Альтернатива,1350,Салатник Юрма,2392,керамика,коричневый,https://kultura-doma.ru/product/salatnik-yurma,
Кабинетное ретро,Стол,Работа,Посуда,Альтернатива,1397,Блюдо овальное Юрма,2392,керамика,коричневый,https://kultura-doma.ru/product/blyudo-yurma-oval-noe-23sm,
Кабинетное ретро,Стол,Работа,Аксессуар (Плейсмат),Основной,557,Плейсмат Текстура,4280,натуральная кожа,коричневый,https://kultura-doma.ru/product/pleysmat-tekstura-557,
Кабинетное ретро,Стол,Работа,Аксессуар (Салфетница),Альтернатива,275,Салфетница Текстура,5040,натуральная кожа,коричневый,https://kultura-doma.ru/product/salfetnica-tekstura-275,
Кабинетное ретро,Стол,Работа,Аксессуар (Подставка),Основной,277,Подставка под бокал Текстура,596,натуральная кожа,коричневый,https://kultura-doma.ru/product/podstavka-pod-bokal-tekstura-277,
Кабинетное ретро,Стол,Работа,Аксессуар (Конверт),Альтернатива,546,Конверт для приборов Текстура,1996,натуральная кожа,коричневый,https://kultura-doma.ru/product/konvert-dlya-priborov-tekstura-546,
Кабинетное ретро,Стол,Работа,Декор,Альтернатива,885,Обложка для ежедневника Текстура,2600,натуральная кожа,коричневый,https://kultura-doma.ru/product/oblozhka-dlya-ezhednevnika-tekstura,
Кабинетное ретро,Стол,Работа,Игра (Крестики-нолики),Основной,379,Игра крестики - нолики Текстура,9000,натуральная кожа,бежевый,https://kultura-doma.ru/product/igra-krestiki---noliki-tekstura-379,
Кабинетное ретро,Стол,Работа,Игра (Шашки),Альтернатива,380,Игра шашки Текстура,13000,натуральная кожа,черный,https://kultura-doma.ru/product/igra-shashki-tekstura,
Синий бархат ночи,Спальня,Отдых,Текстиль (Белье),Основной,1672,Комплект постельного белья Нити времени,16450,,голубой,https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-niti-vremeni,
Синий бархат ночи,Спальня,Отдых,Текстиль (Белье),Альтернатива,1684,Комплект постельного белья Обереги,20900,тенсель,синий,https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-oberegi,
Синий бархат ночи,Спальня,Отдых,Текстиль (Белье),Альтернатива,1671,Комплект постельного белья Тайна острова Буяна,16450,,голубой,https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-tayna-ostrova-buyana,
Синий бархат ночи,Спальня,Отдых,Декор (Подушка),Основной,1295,Подушка декоративная Пушица,9900,,голубой,https://kultura-doma.ru/product/podushka-dekorativnaya-pushica-1295,
Синий бархат ночи,Спальня,Отдых,Декор (Подушка),Альтернатива,1294,Подушка декоративная Пушица,9900,,розовый,https://kultura-doma.ru/product/podushka-dekorativnaya-pushica-1294,
Синий бархат ночи,Спальня,Отдых,Аксессуар (Носки),Основной,1571,Носки Оренбургский узор,9900,"40% пух, 40% па, 30% пан",белый,https://kultura-doma.ru/product/noski-nezhnost-kruzheva,
Синий бархат ночи,Спальня,Отдых,Аксессуар (Гетры),Альтернатива,1569,Гетры Оренбургский узор,9900,"40% пух, 40% па, 30% пан",айвори,https://kultura-doma.ru/product/getry-yagodnoe-kruzhevo,
Синий бархат ночи,Спальня,Отдых,Декор (Свеча),Основной,884,Свеча Поле,990,,белый,https://kultura-doma.ru/product/svecha-pole,
