Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Фото 1;Фото 2;Фото 3;Описание готового решения
KD-PD-1022;Пододеяльник из сатина;Белый;null;Полуторный (140×220 см);9 599,00 ₽;null;140 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-WHITE01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Белый;null;Евро (200×220 см);14 599,00 ₽;null;200 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-WHITE01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Белый;null;Кинг сайз (220×240 см);20 599,00 ₽;null;220 см;240 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-WHITE01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Небесный;null;Полуторный (140×220 см);9 599,00 ₽;null;140 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-BLUE01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Небесный;null;Евро (200×220 см);14 599,00 ₽;null;200 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-BLUE01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Небесный;null;Кинг сайз (220×240 см);20 599,00 ₽;null;220 см;240 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-BLUE01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Ночной синий;null;Полуторный (140×220 см);9 599,00 ₽;null;140 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-DARK01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Ночной синий;null;Евро (200×220 см);14 599,00 ₽;null;200 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-DARK01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Ночной синий;null;Кинг сайз (220×240 см);20 599,00 ₽;null;220 см;240 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-DARK01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Пудровый;null;Полуторный (140×220 см);9 599,00 ₽;null;140 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-PUDRA01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Пудровый;null;Евро (200×220 см);14 599,00 ₽;null;200 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-PUDRA01.png;null;null;null
KD-PD-1022;Пододеяльник из сатина;Пудровый;null;Кинг сайз (220×240 см);20 599,00 ₽;null;220 см;240 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/assets/images/KD-PD-1022-PUDRA01.png;null;null;null
