ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула;Фото 1;Фото 2;Фото 3
861;KD-PD-10284;Подставка-менажница Дрёмица;коричневый;;Единый размер;19 900 ₽;;;;;;;Дерево / Металл ;Дуб;;Дрёмица;;Декор для дома;Декор для дома;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;;https://kultura-doma.ru/public/src/images/gallery/catalog/69f06b63e0eac_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68ecc79f1d5e2_big.jpg;
865;KD-PD-10256;Кружка Феникс;Белый / Золотой;;450 мл;2 990 ₽;;;;450 мл;;;;;;Феникс;Феникс;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;Зимняя сказка;;68ee0feabb4b9_big.png;;
872;KD-PD-10254;Чайная пара Феникс;Белый / Золотой;;250 мл;5 599 ₽;;;;250 мл;16 см;Кружка 1 шт\nБлюдце 1 шт;Фарфор;;;Феникс;Феникс;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;Зимняя сказка;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a2034e4b2241_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68e774cfc2fb9_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a2034e501385_big.jpg
941;KD-PD-2000;Декоративная подушка «Ледяные узоры»;Белый;;50×50 см;5 990 ₽;;50 см;50 см;;;;Хлопок;Внешняя часть: 100% хлопок, наполнитель: 100% пух;Декоративный орнамент «Ледяные узоры»;Ледяные узоры;Ледяные узоры;Пледы и подушки;Декоративные подушки;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2000-WHITE01.png;;
942;KD-PD-2000;Декоративная подушка «Ледяные узоры»;Ледяной голубой;;50×50 см;5 990 ₽;;50 см;50 см;;;;;;;Ледяные узоры;Ледяные узоры;;;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2000-BLUE01.png;;
943;KD-PD-2000;Декоративная подушка «Ледяные узоры»;Ночной синий;;50×50 см;5 990 ₽;;50 см;50 см;;;;;;;Ледяные узоры;Ледяные узоры;;;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2000-DARK01.png;;
944;KD-PD-2003;Плед «Ледяные узоры»;Ледяной голубой;;140×200 см;12 990 ₽;;140 см;200 см;;;;Шерсть и хлопок;70% шерсть, 30% хлопок;Жаккардовый орнамент;Ледяные узоры;Ледяные узоры;Пледы и подушки;Плед;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2003-BLUE01.png;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2003-BLUE02.png;
945;KD-PD-2010;Салатник «Ледяные узоры»;Белый;;24 см;9 990 ₽;;;;;24 см;;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2010-WHITE01.png;;
945;KD-PD-2010;Салатник «Ледяные узоры»;Ночной синий;;24 см;9 990 ₽;;;;;24 см;;;;;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2010-DARK01.png;;
947;KD-PD-2001;Тарелка «Ледяные узоры»;Белый;;23 см;7 990 ₽;;;;;23 см;;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Тарелки;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2001-WHITE01.png;;
947;KD-PD-2001;Тарелка «Ледяные узоры»;Ночной синий;;23 см;7 990 ₽;;;;;23 см;;;;;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Тарелки;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2001-DARK01.png;;
949;KD-PD-2004;Чайная пара «Ледяные узоры»;Белый;;250 мл;6 990 ₽;;;;;15 см;Кружка 1 шт\nБлюдце 1 шт;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Кружки, чайные и кофейные пары;Зимняя сказка;;;https://kssafonova.github.io/kd/images/imported-products/KD-PD-2004-WHITE01.png;;
954;KD-PD-10376;Комплект постельного белья Нити;голубой;;Евро (200х220 см);16 450 ₽;32 900 ₽;200 см;220 см;;;;сатин;100% сатин;;Нити;Нити;Постельное белье;Постельное белье;Зимняя сказка Пламя морских глубин ;;;https://kssafonova.github.io/kd/images/imported-products/69b3ce622cf37_big.jpg;;
954;KD-PD-10376;Комплект постельного белья Нити;голубой;;Кинг-сайз (220х240 см);16 450 ₽;32 900 ₽;220 см;240 см;;;;сатин;100% сатин;;Нити;Нити;Постельное белье;Постельное белье;Зимняя сказка Пламя морских глубин ;;;https://kssafonova.github.io/kd/images/imported-products/69b3ce622cf37_big.jpg;;
957;KD-PD-10599;Подушка декоративная Нити;Голубой;;45х45 см;2 745 ₽;5 490 ₽;45 см;45 см;;;;;;;Нити;Нити;Пледы и подушки;Декоративные подушки;Зимняя сказка Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/69e5d18433139_big.jpg;;
978;KD-PD-8305;Графин Росы;;;1200 мл;21 900 ₽;;;;1200 мл;;;хрусталь;100% хрусталь;;Росы;;Декор для дома;;null;Зимняя сказка  Теплый брутализм,  Зеленый салон,  Красные линии Пламя морских глубин  ;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a50b242547b3_big.jpg;;
994;KD-PD-8695;Подсвечник Росы;;;Единый размер;6 900 ₽;;;;;;;хрусталь;100% хрусталь;;Росы;;Декор для дома;Свечи и диффузоры;null;Зимняя сказка  Теплый брутализм,  Зеленый салон,  Красные линии Пламя морских глубин  ;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a47b3e9acf68_big.jpg;;
10375;KD-PD-10375;Комплект постельного белья Тайна;Голубой;;Евро (200х220 см);23 450 ₽;32 900 ₽;200 см;220 см;;;;сатин;100% сатин;;Тайна;Тайна;Постельное белье;Постельное белье;Пламя морских глубин ;Зимняя сказка ;;69b3ce485dc4b_big.jpg;;
10375;KD-PD-10375;Комплект постельного белья Тайна;Голубой;;Кинг-сайз (220х240 см);26 450 ₽;43 900 ₽;220 см;240 см;;;;сатин;100% сатин;;Тайна;Тайна;Постельное белье;Постельное белье;Пламя морских глубин ;Зимняя сказка;;69b3ce485dc4b_big.jpg;;
